[1462740884158, 7],
[1462740937763, 7],
[1462741039571, 7],
[1462741853953, 7],
[1462742305609, 8],
[1462742315104, 8],
[1462742621655, 9],
[1462742950263, 9],
[1462743323287, 6],
[1462743332226, 6],
[1462743606599, 6],
[1462743622750, 6],
[1462744949471, 6],
[1462745195084, 9],
[1462745261412, 8],
[1462746163037, 6],
[1462747064675, 7],
[1462747969371, 6],
[1462748871026, 9],
[1462749772755, 8],
[1462750674415, 8],
[1462751576105, 9],
[1462752477812, 8],
[1462753380146, 8],
[1462754281801, 7],
[1462761496183, 22],
[1462817319848, 71],
[1462818221339, 58],
[1462819122887, 46],
[1462820024484, 38],
[1462820925849, 23],
[1462821827304, 18],
[1462822728879, 19],
[1462823630944, 15],
[1462824532471, 13],
[1462825434008, 9],
[1462826335425, 11],
[1462827237000, 11],
[1462828138568, 13],
[1462829040141, 13],
[1462829941691, 14],
[1462830843552, 10],
[1462831745119, 6],
[1462834449919, 4],
[1462835351434, 4],
[1462836252954, 9],
[1462837154589, 7],
[1462838056648, 8],
[1462838958160, 8],
[1462839859871, 9],
[1462840761440, 9],
[1462841663241, 7],
[1462842564754, 9],
[1462843466323, 7],
[1462844367867, 8],
[1462845269479, 8],
[1462846171389, 10],
[1462847082471, 10],
[1462847983600, 10],
[1462848888161, 9],
[1462849789703, 10],
[1462850691233, 12],
[1462851592779, 13],
[1462852494844, 15],
[1462854298118, 14],
[1462855199586, 15],
[1462856101256, 14],
[1462857002980, 11],
[1462857904588, 11],
[1462858806209, 10],
[1462859707813, 8],
[1462860609502, 9],
[1462861511072, 11],
[1462880492863, 14],
[1462881395649, 14],
[1462882297251, 15],
[1462883198902, 11],
[1462884103410, 9],
[1462885005311, 8],
[1462885911945, 6],
[1462886812223, 6],
[1462887713761, 8],
[1462903943528, 59],
[1462904845644, 48],
[1462905747333, 40],
[1462906650133, 33],
[1462907552897, 21],
[1462908466374, 16],
[1462918388987, 9],
[1462919290684, 8],
[1462920193405, 8],
[1462921095043, 9],
[1462921996719, 8],
[1462922898447, 8],
[1462923800045, 9],
[1462924702345, 7],
[1462925604018, 9],
[1462926505633, 8],
[1462927407328, 9],
[1462928309265, 9],
[1462929210974, 7],
