[1462740884158, 6],
[1462740937763, 6],
[1462741039571, 6],
[1462741853953, 5],
[1462742305609, 5],
[1462742315104, 5],
[1462742621655, 5],
[1462742950263, 5],
[1462743323287, 2],
[1462743332226, 2],
[1462743606599, 3],
[1462743622750, 3],
[1462744949471, 2],
[1462745195084, 2],
[1462745261412, 2],
[1462746163037, 2],
[1462747064675, 2],
[1462747969371, 2],
[1462748871026, 3],
[1462749772755, 4],
[1462750674415, 6],
[1462751576105, 5],
[1462752477812, 5],
[1462753380146, 5],
[1462754281801, 6],
[1462755183925, 5],
[1462756085683, 6],
[1462756987895, 6],
[1462757889486, 5],
[1462758791146, 4],
[1462759692808, 4],
[1462760594488, 4],
[1462761496183, 4],
[1462762397943, 3],
[1462763299785, 4],
[1462764202517, 4],
[1462765104160, 4],
[1462766005827, 4],
[1462766907461, 4],
[1462767809200, 4],
[1462768710824, 4],
[1462769612557, 4],
[1462770514516, 5],
[1462771416973, 4],
[1462772318888, 5],
[1462773220565, 5],
[1462774122164, 3],
[1462775024417, 3],
[1462775942630, 3],
[1462776844423, 4],
[1462777766542, 3],
[1462778668231, 3],
[1462779569997, 4],
[1462780471745, 7],
[1462781373492, 11],
[1462782306051, 9],
[1462783207848, 9],
[1462784109540, 12],
[1462785011334, 12],
[1462785913636, 9],
[1462786815424, 9],
[1462787717008, 12],
[1462788618789, 13],
[1462789520636, 11],
[1462790422326, 12],
[1462791323949, 13],
[1462792225675, 13],
[1462793127298, 10],
[1462808274861, 10],
[1462809177063, 9],
[1462810078608, 8],
[1462810980159, 12],
[1462811881857, 11],
[1462812783565, 12],
[1462813685179, 12],
[1462814586685, 12],
[1462815488292, 12],
[1462816389890, 11],
[1462817319848, 10],
[1462818221339, 8],
[1462819122887, 7],
[1462820024484, 8],
[1462820925849, 8],
[1462821827304, 10],
[1462822728879, 8],
[1462823630944, 9],
[1462824532471, 9],
[1462825434008, 8],
[1462826335425, 6],
[1462827237000, 6],
[1462828138568, 6],
[1462829040141, 6],
[1462829941691, 4],
[1462830843552, 5],
[1462831745119, 8],
[1462832646728, 6],
[1462833548414, 5],
[1462834449919, 5],
[1462835351434, 5],
[1462836252954, 8],
[1462837154589, 8],
[1462838056648, 8],
[1462838958160, 6],
[1462839859871, 6],
[1462840761440, 6],
[1462841663241, 7],
[1462842564754, 6],
[1462843466323, 6],
[1462844367867, 5],
[1462845269479, 6],
[1462846171389, 7],
[1462847072957, 7],
[1462847983600, 6],
[1462848888161, 6],
[1462849789703, 5],
[1462850691233, 5],
[1462851592779, 5],
[1462852494844, 6],
[1462853396483, 5],
[1462854298118, 4],
[1462855199586, 4],
[1462856101256, 4],
[1462857002980, 6],
[1462857904588, 5],
[1462858806209, 8],
[1462859707813, 5],
[1462860609502, 6],
[1462861511072, 6],
[1462862412532, 5],
[1462863327862, 6],
[1462864256139, 8],
[1462865157702, 9],
[1462866059585, 7],
[1462866961598, 7],
[1462867863282, 9],
[1462868765374, 12],
[1462869666975, 11],
[1462870568622, 11],
[1462871470235, 9],
[1462872377709, 6],
[1462873279624, 7],
[1462874181625, 8],
[1462875083155, 9],
[1462875984732, 11],
[1462876886376, 11],
[1462877788054, 9],
[1462878689682, 11],
[1462879591311, 7],
[1462880492863, 10],
[1462881395649, 13],
[1462882297251, 10],
[1462883198902, 13],
[1462884103410, 13],
[1462885005311, 14],
[1462885906797, 12],
[1462886812223, 10],
[1462887713761, 10],
[1462888615297, 9],
[1462889516984, 12],
[1462890418717, 9],
[1462891320432, 12],
[1462892222009, 10],
[1462893123579, 10],
[1462894025332, 11],
[1462894927011, 12],
[1462895829245, 11],
[1462896730917, 9],
[1462897632371, 12],
[1462898533938, 13],
[1462899435509, 13],
[1462900337091, 11],
[1462901238669, 10],
[1462902140320, 12],
[1462903042000, 11],
[1462903943528, 7],
[1462904845644, 6],
[1462905747333, 11],
[1462906650133, 11],
[1462907552897, 6],
[1462908460111, 5],
[1462909367651, 4],
[1462910270456, 5],
[1462911173603, 5],
[1462912075207, 7],
[1462912976848, 3],
[1462913878584, 4],
[1462914780213, 5],
[1462915682344, 6],
[1462916585011, 6],
[1462917487273, 6],
[1462918388987, 7],
[1462919290684, 8],
[1462920193405, 8],
[1462921095043, 10],
[1462921996719, 10],
[1462922898447, 10],
[1462923800045, 9],
[1462924702345, 10],
[1462925604018, 9],
[1462926505633, 9],
[1462927407328, 8],
[1462928309265, 6],
[1462929210974, 6],
[1462930112636, 5],
[1462931014265, 5],
[1462931915960, 5],
[1462932817584, 4],
[1462933719176, 5],
[1462934620896, 4],
[1462935523217, 4],
[1462936424901, 4],
[1462937326588, 4],
[1462938228389, 4],
[1462939130319, 4],
[1462940032012, 4],
[1462940933740, 4],
[1462941835852, 5],
[1462942737492, 7],
[1462943639224, 8],
[1462944540933, 7],
[1462945442658, 9],
[1462946344292, 7],
[1462947246006, 5],
[1462948147826, 5],
[1462949049504, 6],
[1462949951326, 7],
[1462950853049, 8],
[1462951754721, 5],
[1463071353132, 11],
[1463072255191, 12],
[1463073156752, 12],
[1463074959883, 9],
[1463075861534, 12],
[1463076763095, 9],
[1463097514158, 9],
[1463098415758, 7],
[1463099317306, 8],
[1463100218821, 8],
[1463101120689, 8],
[1463102022305, 4],
[1463102923879, 2],
[1463103825381, 3],
[1463104727293, 3],
[1463105628885, 3],
[1463106530521, 2],
[1463107432048, 2],
[1463108333723, 2],
[1463109235483, 1],
[1463138117467, 18],
[1463139018966, 17],
[1463244189971, 7],
[1463245092343, 4],
[1463245994312, 5],
[1463246896170, 9],
[1463248699672, 9],
[1463249601469, 4],
[1463250503031, 6],
[1463251404841, 7],
[1463252306905, 7],
[1463255012225, 8],
[1463255914253, 6],
[1463256815884, 6],
[1463257717649, 6],
[1463258619285, 5],
[1463259521224, 3],
[1463260422803, 2],
[1463261324573, 5],
[1463262226276, 5],
[1463263127842, 6],
[1463264029515, 8],
[1463264931315, 10],
[1463265832922, 8],
[1463266734918, 9],
[1463267636606, 7],
[1463268538190, 6],
[1463269439910, 6],
[1463270341704, 8],
[1463271246387, 6],
[1463272148063, 7],
[1463273049973, 6],
[1463273951926, 6],
[1463274853661, 5],
[1463275755291, 5],
[1463276657394, 6],
[1463277559477, 5],
[1463278464348, 5],
[1463279366204, 3],
[1463280267937, 3],
[1463281169778, 3],
[1463282071544, 3],
[1463282976736, 4],
[1463283878816, 4],
[1463284780487, 4],
[1463285682213, 3],
[1463286583844, 3],
[1463287485593, 3],
[1463288387749, 2],
[1463289289462, 2],
[1463290191238, 4],
[1463291092841, 3],
[1463291994526, 3],
[1463292896446, 3],
[1463293798190, 4],
[1463294699959, 4],
[1463295601815, 5],
[1463296503553, 5],
[1463297405344, 3],
[1463298307068, 3],
[1463299209155, 3],
[1463300110808, 6],
[1463301012626, 4],
[1463301914454, 4],
[1463302816519, 4],
[1463303718167, 5],
[1463304619840, 5],
[1463305521599, 5],
[1463306423491, 6],
[1463307325087, 6],
[1463308226793, 5],
[1463309128554, 8],
[1463310030726, 7],
[1463340723813, 2],
[1463341625404, 5],
[1463342530054, 2],
[1463352452712, 4],
[1463353354988, 4],
[1463355158821, 4],
[1463356060462, 3],
[1463356962521, 5],
[1463357864555, 6],
[1463358766254, 7],
[1463359668004, 8],
[1463360570055, 7],
[1463361472076, 6],
[1463362373902, 9],
[1463363276012, 6],
[1463364178151, 5],
[1463365081263, 5],
[1463365983310, 4],
[1463366884931, 3],
[1463367786593, 3],
[1463368688259, 3],
[1463369590072, 4],
[1463370491776, 4],
[1463371393438, 4],
[1463372295154, 4],
[1463373196863, 6],
[1463374098641, 5],
[1463375003041, 6],
[1463375904919, 5],
[1463376806673, 5],
[1463377708487, 5],
[1463378610376, 5],
[1463379512463, 4],
