[1462740884158, 49],
[1462740937763, 47],
[1462741039571, 44],
[1462741853953, 49],
[1462742305609, 43],
[1462742315104, 43],
[1462742621655, 42],
[1462742950263, 46],
[1462743323287, 46],
[1462743332226, 46],
[1462743606599, 49],
[1462743622750, 46],
[1462744949471, 42],
[1462745195084, 46],
[1462745261412, 47],
[1462746163037, 34],
[1462747064675, 38],
[1462747969371, 36],
[1462748871026, 29],
[1462749772755, 32],
[1462750674415, 30],
[1462751576105, 28],
[1462752477812, 28],
[1462753380146, 26],
[1462754281801, 31],
[1462755183925, 27],
[1462756085683, 26],
[1462756987895, 24],
[1462757889486, 20],
[1462758791146, 20],
[1462759692808, 18],
[1462760594488, 19],
[1462761496183, 18],
[1462762397943, 18],
[1462763299785, 22],
[1462764202517, 21],
[1462765104160, 19],
[1462766005827, 21],
[1462766907461, 24],
[1462767809200, 28],
[1462768710824, 40],
[1462769612557, 44],
[1462770514516, 57],
[1462771416973, 82],
[1462772318888, 98],
[1462773220565, 135],
[1462774122164, 200],
[1462775041069, 200],
[1462775942630, 200],
[1462776865136, 200],
[1462777766542, 200],
[1462778668231, 200],
[1462779569997, 200],
[1462780471745, 200],
[1462781404733, 198],
[1462782306051, 196],
[1462783207848, 200],
[1462784109540, 199],
[1462785011334, 186],
[1462785913636, 200],
[1462786815424, 199],
[1462787717008, 189],
[1462788618789, 195],
[1462789520636, 200],
[1462809177063, 117],
[1462810078608, 99],
[1462810980159, 116],
[1462812783565, 147],
[1462815488292, 199],
[1462823630944, 95],
[1462824532471, 71],
[1462825434008, 65],
[1462826335425, 59],
[1462827237000, 59],
[1462828138568, 61],
[1462829040141, 55],
[1462829941691, 52],
[1462830843552, 45],
[1462831745119, 53],
[1462833548414, 60],
[1462834449919, 71],
[1462835351434, 70],
[1462836252954, 68],
[1462837154589, 75],
[1462838056648, 75],
[1462838958160, 51],
[1462839859871, 49],
[1462840761440, 49],
[1462841663241, 48],
[1462842564754, 46],
[1462843466323, 41],
[1462844367867, 40],
[1462845269479, 39],
[1462846171389, 40],
[1462847082471, 40],
[1462847983600, 32],
[1462848888161, 33],
[1462849789703, 32],
[1462850691233, 29],
[1462851592779, 29],
[1462852494844, 29],
[1462853396483, 32],
[1462854298118, 32],
[1462855199586, 36],
[1462856101256, 29],
[1462857002980, 31],
[1462857904588, 37],
[1462858806209, 43],
[1462859707813, 53],
[1462861511072, 64],
[1462867863282, 200],
[1462868765374, 200],
[1462869666975, 200],
[1462870568622, 188],
[1462871476947, 199],
[1462872377709, 200],
[1462873279624, 200],
[1462874181625, 200],
[1462875083155, 199],
[1462875984732, 200],
[1462876886376, 150],
[1462877788054, 146],
[1462878689682, 143],
[1462879591311, 135],
[1462880492863, 140],
[1462881395649, 157],
[1462882297251, 199],
[1462883198902, 199],
[1462884103410, 195],
[1462885005311, 190],
[1462885906797, 126],
[1462886812223, 107],
[1462887713761, 88],
[1462888615297, 79],
[1462889516984, 71],
[1462890418717, 79],
[1462891320432, 94],
[1462892222009, 94],
[1462893123579, 98],
[1462894025332, 94],
[1462894927011, 107],
[1462895829245, 120],
[1462896730917, 140],
[1462897632371, 170],
[1462898533938, 184],
[1462899435509, 196],
[1462900337091, 200],
[1462901238669, 200],
[1462902140320, 200],
[1462903042000, 200],
[1462903943528, 200],
[1462904845644, 200],
[1462905747333, 200],
[1462906650133, 178],
[1462907552897, 198],
[1462908466374, 200],
[1462909367651, 200],
[1462910270456, 200],
[1462911173603, 200],
[1462912075207, 200],
[1462912976848, 200],
[1462913878584, 200],
[1462914780213, 200],
[1462915682344, 200],
[1462916585011, 200],
[1462917487273, 200],
[1462918388987, 200],
[1462919290684, 200],
[1462920193405, 200],
[1462921095043, 196],
[1462921996719, 138],
[1462922898447, 109],
[1462923800045, 93],
[1462924702345, 84],
[1462925604018, 74],
[1462926505633, 78],
[1462927407328, 76],
[1462928309265, 71],
[1462929210974, 74],
[1462930112636, 68],
[1462931014265, 64],
[1462931915960, 64],
[1462932817584, 66],
[1462933719176, 70],
[1462934620896, 71],
[1462935523217, 74],
[1462936424901, 64],
[1462937326588, 70],
[1462938228389, 66],
[1462939130319, 64],
[1462940032012, 80],
[1462940933740, 90],
[1462941835852, 90],
[1462942737492, 90],
[1462943639224, 99],
[1462944540933, 117],
[1462945442658, 125],
[1462946344292, 164],
[1462947246006, 200],
[1462948147826, 200],
[1462949049504, 186],
[1463073156752, 199],
[1463074058429, 200],
[1463074959883, 200],
[1463075861534, 199],
[1463076763095, 200],
[1463077664725, 198],
[1463078566259, 200],
[1463079467981, 190],
[1463080369566, 200],
[1463081271191, 200],
[1463082172776, 199],
[1463083074995, 200],
[1463083976563, 200],
[1463084878051, 200],
[1463085779381, 200],
[1463086681699, 200],
[1463087583380, 200],
[1463088485267, 200],
[1463089386833, 200],
[1463090288416, 200],
[1463091204025, 200],
[1463092104843, 200],
[1463093006334, 200],
[1463093907913, 200],
[1463094809450, 156],
[1463095711095, 140],
[1463096612642, 112],
[1463097514158, 114],
[1463098415758, 95],
[1463099317306, 78],
[1463100218821, 77],
[1463101120689, 63],
[1463102022305, 61],
[1463102923879, 59],
[1463103825381, 54],
[1463104727293, 57],
[1463105628885, 61],
[1463106530521, 61],
[1463107432048, 62],
[1463108333723, 58],
[1463109235483, 50],
[1463110137164, 47],
[1463111038763, 47],
[1463111941362, 48],
[1463112843351, 44],
[1463113745123, 52],
[1463114646876, 62],
[1463115549019, 70],
[1463116450648, 90],
[1463117352349, 104],
[1463118253946, 136],
[1463119156578, 158],
[1463120959760, 185],
[1463121888181, 189],
[1463122789637, 200],
[1463123691220, 200],
[1463124592800, 200],
[1463125494303, 200],
[1463126396372, 200],
[1463127297953, 200],
[1463128199613, 200],
[1463129101163, 199],
[1463130003464, 180],
[1463130905092, 200],
[1463131806736, 197],
[1463132708533, 200],
[1463133609975, 199],
[1463134511369, 185],
[1463135412843, 175],
[1463136314360, 105],
[1463137215975, 86],
[1463138117467, 96],
[1463139018966, 99],
[1463244189971, 99],
[1463245092343, 104],
[1463245994312, 111],
[1463246896170, 131],
[1463247797920, 109],
[1463248699672, 116],
[1463249601469, 172],
[1463250503031, 183],
[1463251404841, 106],
[1463252306905, 109],
[1463254110652, 42],
[1463255012225, 47],
[1463255914253, 63],
[1463256815884, 67],
[1463257717649, 83],
[1463258619285, 92],
[1463259521224, 101],
[1463260422803, 113],
[1463261324573, 124],
[1463262226276, 123],
[1463263127842, 116],
[1463264029515, 100],
[1463264931315, 67],
[1463265832922, 56],
[1463266734918, 59],
[1463267636606, 60],
[1463268538190, 58],
[1463269439910, 56],
[1463270341704, 54],
[1463271246387, 54],
[1463272148063, 50],
[1463273049973, 48],
[1463273951926, 51],
[1463274853661, 51],
[1463275755291, 55],
[1463276657394, 47],
[1463277559477, 47],
[1463278464348, 48],
[1463279366204, 49],
[1463280267937, 39],
[1463281169778, 37],
[1463282071544, 34],
[1463282976736, 34],
[1463283878816, 35],
[1463284780487, 31],
[1463285682213, 33],
[1463286583844, 33],
[1463287485593, 45],
[1463288387749, 51],
[1463289289462, 61],
[1463290191238, 68],
[1463301012626, 90],
[1463338920146, 89],
[1463339822133, 62],
[1463340723813, 62],
[1463341625404, 65],
[1463342530054, 67],
[1463343431882, 65],
[1463344333557, 64],
[1463345235278, 62],
[1463346137454, 54],
[1463347039207, 56],
[1463347940913, 57],
[1463348842574, 68],
[1463349744282, 71],
[1463350649268, 54],
[1463351550948, 50],
[1463352452712, 45],
[1463353354988, 38],
[1463354256797, 37],
[1463355158821, 38],
[1463356060462, 37],
[1463356962521, 37],
[1463357864555, 36],
[1463358766254, 42],
[1463359668004, 36],
[1463360570055, 36],
[1463361472076, 35],
[1463362373902, 37],
[1463363276012, 38],
[1463364178151, 39],
[1463365081263, 43],
[1463365983310, 44],
[1463366884931, 45],
[1463367786593, 39],
[1463368688259, 34],
[1463369590072, 30],
[1463370491776, 29],
[1463371393438, 32],
[1463372295154, 38],
[1463373196863, 46],
[1463374098641, 51],
[1463375003041, 53],
[1463375904919, 65],
[1463376806673, 72],
[1463377708487, 88],
[1463381315946, 196],
[1463382217705, 200],
[1463383119615, 200],
[1463384021334, 200],
[1463384923122, 200],
[1463385825354, 200],
[1463386727056, 200],
[1463387629909, 200],
[1463388531703, 200],
[1463389434278, 198],
[1463390336186, 199],
[1463391238112, 200],
[1463392139850, 199],
[1463393041624, 200],
[1463393943443, 195],
[1463394845281, 199],
[1463395747286, 149],
[1463396649615, 136],
[1463397551543, 148],
[1463398453447, 142],
[1463399355062, 141],
[1463400272236, 192],
[1463401189950, 199],
[1463402091325, 190],
[1463402993014, 199],
[1463403895439, 126],
[1463404797602, 125],
[1463405699312, 110],
