[1462740884158, 10000],
[1462740937763, 10000],
[1462741039571, 10000],
[1462741853953, 10000],
[1462742305609, 10000],
[1462742315104, 10000],
[1462742621655, 10000],
[1462742950263, 10000],
[1462743323287, 10000],
[1462743332226, 10000],
[1462743606599, 10000],
[1462743622750, 10000],
[1462744949471, 10000],
[1462745195084, 10000],
[1462745261412, 10000],
[1462746163037, 10000],
[1462747064675, 10000],
[1462747969371, 10000],
[1462748871026, 10000],
[1462749772755, 10000],
[1462750674415, 10000],
[1462751576105, 10000],
[1462752477812, 10000],
[1462753380146, 10000],
[1462754281801, 10000],
[1462755183925, 10000],
[1462756085683, 10000],
[1462756987895, 10000],
[1462757889486, 10000],
[1462758791146, 10000],
[1462759692808, 10000],
[1462760594488, 10000],
[1462761496183, 10000],
[1462762397943, 10000],
[1462763299785, 10000],
[1462764202517, 10000],
[1462765104160, 10000],
[1462766005827, 10000],
[1462766907461, 10000],
[1462767809200, 10000],
[1462768710824, 10000],
[1462769612557, 10000],
[1462770514516, 10000],
[1462771416973, 10000],
[1462772318888, 10000],
[1462773220565, 10000],
[1462774122164, 10000],
[1462775041069, 10000],
[1462775942630, 10000],
[1462776865136, 10000],
[1462777766542, 10000],
[1462778668231, 10000],
[1462779569997, 10000],
[1462780471745, 10000],
[1462781404733, 10000],
[1462782306051, 10000],
[1462783207848, 10000],
[1462784109540, 10000],
[1462785011334, 10000],
[1462785913636, 10000],
[1462786815424, 10000],
[1462787717008, 10000],
[1462788618789, 10000],
[1462789520636, 10000],
[1462790422326, 10000],
[1462791323949, 10000],
[1462792225675, 10000],
[1462793127298, 10000],
[1462808274861, 10000],
[1462809177063, 10000],
[1462810078608, 10000],
[1462810980159, 10000],
[1462811881857, 10000],
[1462812783565, 10000],
[1462813685179, 10000],
[1462814586685, 10000],
[1462815488292, 10000],
[1462816418497, 10000],
[1462818221339, 10000],
[1462819122887, 10000],
[1462821827304, 10000],
[1462822728879, 10000],
[1462823630944, 10000],
[1462824532471, 10000],
[1462825434008, 10000],
[1462826335425, 10000],
[1462827237000, 10000],
[1462828138568, 10000],
[1462829040141, 10000],
[1462829941691, 10000],
[1462830843552, 10000],
[1462831745119, 10000],
[1462832646728, 10000],
[1462833548414, 10000],
[1462834449919, 10000],
[1462835351434, 10000],
[1462836252954, 10000],
[1462837154589, 10000],
[1462838056648, 10000],
[1462838958160, 10000],
[1462839859871, 10000],
[1462840761440, 10000],
[1462841663241, 10000],
[1462842564754, 10000],
[1462843466323, 10000],
[1462844367867, 10000],
[1462845269479, 10000],
[1462846171389, 10000],
[1462847072957, 10000],
[1462847983600, 10000],
[1462848888161, 10000],
[1462849789703, 10000],
[1462850691233, 10000],
