[1462740884158, 6485],
[1462740937763, 6485],
[1462741039571, 6485],
[1462741853953, 6485],
[1462742305609, 6485],
[1462742315104, 6485],
[1462742621655, 6485],
[1462742950263, 6485],
[1462743323287, 6485],
[1462743332226, 6485],
[1462743606599, 6485],
[1462743622750, 6485],
[1462744949471, 6485],
[1462745195084, 6485],
[1462745261412, 6485],
[1462746163037, 6485],
[1462747064675, 6485],
[1462747969371, 6485],
[1462748871026, 6485],
[1462749772755, 6485],
[1462750674415, 6485],
[1462751576105, 6485],
[1462752477812, 6485],
[1462753380146, 6485],
[1462754281801, 6485],
[1462755183925, 6485],
[1462756085683, 6485],
[1462756987895, 6485],
[1462757889486, 6485],
[1462758791146, 6485],
[1462759692808, 6485],
[1462760594488, 6485],
[1462761496183, 6485],
[1462762397943, 6485],
[1462763299785, 6485],
[1462764202517, 6485],
[1462765104160, 6485],
[1462766005827, 6485],
[1462766907461, 6485],
[1462767809200, 6485],
[1462768710824, 6485],
[1462769612557, 6485],
[1462770514516, 6485],
[1462771416973, 6485],
[1462772318888, 6485],
[1462773220565, 6485],
[1462774122164, 6485],
[1462781404733, 6485],
[1462782306051, 6485],
[1462783207848, 6485],
[1462784109540, 6485],
[1462785011334, 6485],
[1462785913636, 6485],
[1462786815424, 6485],
[1462787717008, 6485],
[1462788618789, 6485],
[1462789520636, 6485],
[1462790422326, 6485],
[1462791323949, 6485],
[1462792225675, 6485],
[1462793127298, 6485],
[1462815488292, 6485],
[1462816418497, 6485],
[1462817319848, 6485],
[1462818221339, 6485],
[1462819122887, 6485],
[1462826335425, 6485],
[1462827237000, 6485],
[1462828138568, 6485],
[1462829040141, 6485],
[1462829941691, 6485],
[1462830843552, 6485],
[1462831745119, 6485],
[1462832646728, 6485],
[1462833548414, 6485],
[1462834449919, 6485],
[1462835351434, 6485],
[1462836252954, 6485],
[1462837154589, 6485],
[1462838056648, 6485],
[1462838958160, 6485],
[1462839859871, 6485],
[1462840761440, 6485],
[1462841663241, 6485],
[1462842564754, 6485],
[1462843466323, 6485],
[1462844367867, 6485],
[1462845269479, 6485],
[1462846171389, 6485],
[1462847082471, 6485],
[1462847983600, 6485],
[1462848888161, 6485],
[1462849789703, 6485],
[1462850691233, 6485],
[1462851592779, 6485],
[1462852494844, 6485],
[1462853396483, 6485],
[1462854298118, 6485],
[1462855199586, 6485],
[1462856101256, 6485],
[1462857002980, 6485],
[1462857904588, 6485],
[1462858806209, 6485],
[1462859707813, 6485],
[1462860609502, 6485],
[1462861511072, 6485],
[1462862426119, 6485],
[1462863354727, 6485],
[1462865157702, 6485],
[1462866059585, 6485],
[1462866961598, 6485],
[1462868765374, 6485],
[1462869666975, 6485],
[1462870568622, 6485],
[1462871470235, 6485],
[1462872377709, 6485],
[1462873279624, 6485],
[1462874181625, 6485],
[1462875083155, 6485],
[1462875984732, 6485],
[1462876886376, 6485],
[1462880492863, 6485],
[1462881395649, 6485],
[1462882297251, 6485],
[1462883198902, 6485],
[1462884103410, 6485],
[1462885005311, 6485],
[1462902140320, 6485],
[1462903042000, 6485],
[1462903943528, 6485],
[1462904845644, 6485],
[1462905747333, 6485],
[1462906650133, 6485],
[1462907552897, 6485],
[1462908466374, 6485],
[1462909367651, 6485],
[1462910270456, 6485],
[1462911173603, 6485],
[1462912075207, 6485],
[1462912976848, 6485],
[1462913878584, 6485],
[1462914780213, 6485],
[1462915682344, 6485],
[1462916585011, 6485],
[1462917487273, 6485],
[1462918388987, 6485],
[1462919290684, 6485],
[1462920193405, 6485],
[1462921095043, 6485],
[1462921996719, 6485],
[1462922898447, 6485],
[1462923800045, 6485],
[1462924702345, 6485],
[1462925604018, 6485],
[1462926505633, 6485],
[1462927407328, 6485],
[1462928309265, 6485],
[1462929210974, 6485],
[1462930112636, 6485],
[1462931014265, 6485],
[1462931915960, 6485],
[1462932817584, 6485],
[1462933719176, 6485],
[1462934620896, 6485],
[1462935523217, 6485],
[1462936424901, 6485],
[1462937326588, 6485],
[1462938228389, 6485],
[1462939130319, 6485],
[1462940032012, 6485],
[1462940933740, 6485],
[1462941835852, 6485],
[1462942737492, 6485],
[1462943639224, 6485],
[1462944540933, 6485],
[1462945442658, 6485],
[1462946344292, 6485],
[1462947246006, 6485],
[1462948147826, 6485],
[1462949049504, 6485],
[1462949951326, 6485],
[1462950853049, 6485],
[1462951754721, 6485],
[1463075861534, 6485],
[1463076763095, 6485],
[1463077664725, 6485],
[1463078566259, 6485],
[1463079467981, 6485],
[1463080369566, 6485],
[1463081271191, 6485],
[1463082172776, 6485],
[1463084878051, 6485],
[1463085779381, 6485],
[1463086681699, 6485],
[1463087583380, 6485],
[1463088485267, 6485],
[1463089386833, 6485],
[1463090288416, 6485],
[1463091190075, 6485],
[1463092104843, 6485],
[1463093006334, 6485],
[1463093907913, 6485],
[1463094809450, 6485],
[1463095711095, 6485],
[1463096612642, 6485],
[1463097514158, 6485],
[1463098415758, 6485],
[1463099317306, 6485],
[1463100218821, 6485],
[1463101120689, 6485],
[1463102022305, 6485],
[1463102923879, 6485],
[1463103825381, 6485],
[1463104727293, 6485],
[1463105628885, 6485],
[1463106530521, 6485],
[1463107432048, 6485],
[1463108333723, 6485],
[1463109235483, 6485],
[1463110137164, 6485],
[1463111038763, 6485],
[1463111941362, 6485],
[1463112843351, 6485],
[1463113745123, 6485],
[1463114646876, 6485],
[1463115549019, 6485],
[1463116450648, 6485],
[1463117352349, 6485],
[1463118253946, 6485],
[1463119156578, 6485],
[1463120058203, 6485],
[1463120959760, 6485],
[1463121888181, 6485],
[1463122789637, 6485],
[1463125494303, 6485],
[1463126396372, 6485],
[1463127297953, 6485],
[1463128199613, 6485],
[1463129101163, 6485],
[1463130003464, 6485],
[1463130905092, 6485],
[1463131806736, 6485],
[1463132708533, 6485],
[1463133609975, 6485],
[1463134511369, 6485],
[1463135412843, 6485],
[1463136314360, 6485],
[1463137215975, 6485],
[1463138117467, 6485],
[1463139018966, 6485],
[1463244189971, 6485],
[1463245092343, 6485],
[1463245994312, 6485],
[1463246896170, 6485],
[1463247797920, 6485],
[1463248699672, 6485],
[1463249601469, 6485],
[1463250503031, 6485],
[1463251404841, 6485],
[1463252306905, 6485],
[1463253208993, 6485],
[1463254110652, 6485],
[1463255012225, 6485],
[1463255914253, 6485],
[1463256815884, 6485],
[1463257717649, 6485],
[1463258619285, 6485],
[1463259521224, 6485],
[1463260422803, 6485],
[1463261324573, 6485],
[1463262226276, 6485],
[1463263127842, 6485],
[1463264029515, 6485],
[1463264931315, 6485],
[1463265832922, 6485],
[1463266734918, 6485],
[1463267636606, 6485],
[1463268538190, 6485],
[1463269439910, 6485],
[1463270341704, 6485],
[1463271246387, 6485],
[1463272148063, 6485],
[1463273049973, 6485],
[1463273951926, 6485],
[1463274853661, 6485],
[1463275755291, 6485],
[1463276657394, 6485],
[1463277559477, 6485],
[1463278464348, 6485],
[1463279366204, 6485],
[1463280267937, 6485],
[1463281169778, 6485],
[1463282071544, 6485],
[1463282976736, 6485],
[1463283878816, 6485],
[1463284780487, 6485],
[1463285682213, 6485],
[1463286583844, 6485],
[1463287485593, 6485],
[1463288387749, 6485],
[1463289289462, 6485],
[1463290191238, 6485],
[1463291092841, 6485],
[1463291994526, 6485],
[1463292896446, 6485],
[1463293798190, 6485],
[1463294699959, 6485],
[1463295601815, 6485],
[1463296503553, 6485],
[1463297405344, 6485],
[1463298307068, 6485],
[1463299209155, 6485],
[1463300110808, 6485],
[1463301012626, 6485],
[1463301914454, 6485],
[1463302816519, 6485],
[1463303718167, 6485],
[1463304619840, 6485],
[1463305521599, 6485],
[1463306423491, 6485],
[1463307325087, 6485],
[1463308226793, 6485],
[1463309128554, 6485],
[1463310030726, 6485],
[1463310963618, 6485],
[1463311865368, 6485],
[1463312767017, 6485],
[1463313668944, 6485],
[1463314570717, 6485],
[1463315472401, 6485],
[1463316374015, 6485],
[1463317276158, 6485],
[1463318177801, 6485],
[1463319080589, 6485],
[1463319982293, 6485],
[1463320884327, 6485],
[1463321786003, 6485],
[1463322687740, 6485],
[1463323589369, 6485],
[1463324491044, 6485],
[1463331705291, 6485],
[1463332607046, 6485],
[1463333508825, 6485],
[1463334410548, 6485],
[1463335312455, 6485],
[1463336214126, 6485],
[1463337116762, 6485],
[1463338018426, 6485],
[1463338920146, 6485],
[1463339822133, 6485],
[1463340723813, 6485],
[1463341625404, 6485],
[1463342530054, 6485],
[1463343431882, 6485],
[1463344333557, 6485],
[1463345235278, 6485],
[1463346137454, 6485],
[1463347039207, 6485],
[1463347940913, 6485],
[1463348842574, 6485],
[1463349744282, 6485],
[1463350649268, 6485],
[1463351550948, 6485],
[1463352452712, 6485],
[1463353354988, 6485],
[1463354256797, 6485],
[1463355158821, 6485],
[1463356060462, 6485],
[1463356962521, 6485],
[1463357864555, 6485],
[1463358766254, 6485],
[1463359668004, 6485],
[1463360570055, 6485],
[1463361472076, 6485],
[1463362373902, 6485],
[1463363276012, 6485],
[1463364178151, 6485],
[1463365081263, 6485],
[1463365983310, 6485],
[1463366884931, 6485],
[1463367786593, 6485],
[1463368688259, 6485],
[1463369590072, 6485],
[1463370491776, 6485],
[1463371393438, 6485],
[1463372295154, 6485],
[1463373196863, 6485],
[1463374098641, 6485],
[1463375003041, 6485],
[1463375904919, 6485],
[1463376806673, 6485],
[1463377708487, 6485],
[1463378610376, 6485],
[1463379512463, 6485],
[1463381315946, 6485],
[1463384923122, 6485],
[1463385825354, 6485],
[1463386727056, 6485],
[1463387629909, 6485],
[1463388531703, 6485],
[1463389434278, 6485],
[1463390336186, 6485],
[1463391238112, 6485],
[1463392139850, 6485],
[1463393041624, 6485],
[1463393943443, 6485],
[1463394845281, 6485],
[1463398453447, 6485],
[1463399355062, 6485],
[1463400272236, 6485],
[1463401189950, 6485],
[1463402091325, 6485],
[1463402993014, 6485],
