[1462740884158, 172],
[1462740937763, 172],
[1462741039571, 172],
[1462741853953, 172],
[1462742305609, 172],
[1462742315104, 172],
[1462742621655, 172],
[1462742950263, 172],
[1462743323287, 172],
[1462743332226, 172],
[1462743606599, 172],
[1462743622750, 172],
[1462744949471, 172],
[1462745195084, 172],
[1462745261412, 172],
[1462746163037, 172],
[1462747064675, 172],
[1462747969371, 172],
[1462748871026, 172],
[1462749772755, 172],
[1462750674415, 172],
[1462751576105, 172],
[1462752477812, 172],
[1462753380146, 172],
[1462754281801, 172],
[1462755183925, 172],
[1462756085683, 172],
[1462756987895, 172],
[1462757889486, 172],
[1462758791146, 172],
[1462759692808, 172],
[1462760594488, 172],
[1462761496183, 172],
[1462762397943, 172],
[1462763299785, 172],
[1462764202517, 172],
[1462765104160, 172],
[1462766005827, 172],
[1462766907461, 172],
[1462767809200, 172],
[1462768710824, 172],
[1462769612557, 172],
[1462770514516, 172],
[1462771416973, 172],
[1462772318888, 172],
[1462773220565, 172],
[1462774122164, 172],
[1462775024417, 172],
[1462775942630, 172],
[1462776844423, 172],
[1462777766542, 172],
[1462778668231, 172],
[1462779569997, 172],
[1462780471745, 172],
[1462781373492, 172],
[1462782306051, 172],
[1462783207848, 172],
[1462784109540, 172],
[1462785011334, 172],
[1462785913636, 172],
[1462786815424, 172],
[1462787717008, 172],
[1462788618789, 172],
[1462789520636, 172],
[1462790422326, 172],
[1462791323949, 172],
[1462792225675, 172],
[1462793127298, 172],
[1462808274861, 216],
[1462809177063, 216],
[1462810078608, 216],
[1462810980159, 216],
[1462811881857, 216],
[1462812783565, 216],
[1462813685179, 216],
[1462814586685, 216],
[1462815488292, 216],
[1462816389890, 216],
[1462817319848, 216],
[1462818221339, 216],
[1462819122887, 216],
[1462820925849, 216],
[1462824532471, 216],
[1462827237000, 216],
[1462829040141, 216],
[1462829941691, 216],
[1462830843552, 216],
[1462831745119, 216],
[1462832646728, 216],
[1462833548414, 216],
[1462834449919, 216],
[1462835351434, 216],
[1462836252954, 216],
[1462837154589, 216],
[1462838056648, 216],
[1462838958160, 216],
[1462839859871, 216],
[1462840761440, 216],
[1462841663241, 216],
[1462842564754, 216],
[1462843466323, 216],
[1462844367867, 216],
[1462845269479, 216],
[1462846171389, 216],
[1462847072957, 216],
[1462847983600, 216],
[1462848888161, 216],
[1462849789703, 216],
[1462850691233, 216],
[1462851592779, 216],
[1462852494844, 216],
[1462853396483, 216],
[1462854298118, 216],
[1462855199586, 216],
[1462856101256, 216],
[1462857002980, 216],
[1462857904588, 216],
[1462858806209, 216],
[1462859707813, 216],
[1462860609502, 216],
[1462861511072, 216],
[1462862412532, 216],
[1462863327862, 216],
[1462864256139, 216],
[1462865157702, 216],
[1462866059585, 216],
[1462866961598, 216],
[1462867863282, 216],
[1462868765374, 216],
[1462869666975, 216],
[1462870568622, 216],
[1462871470235, 216],
[1462873279624, 216],
[1462874181625, 216],
[1462875083155, 216],
[1462875984732, 216],
[1462876886376, 216],
[1462877788054, 216],
[1462878689682, 216],
[1462879591311, 216],
[1462880492863, 216],
[1462881395649, 216],
[1462882297251, 216],
[1462883198902, 216],
[1462884103410, 216],
[1462885005311, 216],
[1462885906797, 216],
[1462886812223, 216],
[1462887713761, 216],
[1462888615297, 216],
[1462891320432, 216],
[1462892222009, 216],
[1462893123579, 216],
[1462894025332, 216],
[1462894927011, 216],
[1462895829245, 216],
[1462896730917, 216],
[1462897632371, 216],
[1462898533938, 216],
[1462899435509, 216],
[1462900337091, 216],
[1462901238669, 216],
[1462902140320, 216],
[1462903042000, 216],
[1462903943528, 216],
[1462904845644, 216],
[1462905747333, 216],
[1462906650133, 216],
[1462907552897, 216],
[1462908460111, 216],
[1462909367651, 216],
[1462910270456, 216],
[1462911173603, 216],
[1462912075207, 216],
[1462912976848, 216],
[1462913878584, 216],
[1462914780213, 216],
[1462915682344, 216],
[1462916585011, 216],
[1462917487273, 216],
[1462918388987, 216],
[1462919290684, 216],
[1462920193405, 216],
[1462921095043, 216],
[1462921996719, 216],
[1462922898447, 216],
[1462923800045, 216],
[1462924702345, 216],
[1462925604018, 216],
[1462926505633, 216],
[1462927407328, 216],
[1462928309265, 216],
[1462929210974, 216],
[1462930112636, 216],
[1462931014265, 216],
[1462931915960, 216],
[1462932817584, 216],
[1462933719176, 216],
[1462934620896, 216],
[1462935523217, 216],
[1462936424901, 216],
[1462937326588, 216],
[1462938228389, 216],
[1462939130319, 216],
[1462940032012, 216],
[1462940933740, 216],
[1462941835852, 216],
[1462942737492, 216],
[1462943639224, 216],
[1462944540933, 216],
[1462945442658, 216],
[1462946344292, 216],
[1462947246006, 216],
[1462948147826, 216],
[1462949049504, 216],
[1462949951326, 216],
[1462950853049, 216],
[1462951754721, 216],
[1463071353132, 216],
[1463072255191, 216],
[1463073156752, 216],
[1463074058429, 216],
[1463074959883, 216],
[1463075861534, 216],
[1463076763095, 216],
[1463077664725, 216],
[1463078566259, 216],
[1463079467981, 216],
[1463080369566, 216],
[1463081271191, 216],
[1463082172776, 216],
[1463085779381, 216],
[1463088485267, 216],
[1463091190075, 216],
[1463092104843, 216],
[1463093006334, 216],
[1463093907913, 216],
[1463094809450, 216],
[1463095711095, 216],
[1463096612642, 216],
[1463097514158, 216],
[1463098415758, 216],
[1463099317306, 216],
[1463100218821, 216],
[1463101120689, 216],
[1463102022305, 216],
[1463102923879, 216],
[1463103825381, 216],
[1463104727293, 216],
[1463105628885, 216],
[1463106530521, 216],
[1463107432048, 216],
[1463108333723, 216],
[1463109235483, 216],
[1463110137164, 216],
[1463111038763, 216],
[1463111941362, 216],
[1463112843351, 216],
[1463113745123, 216],
[1463114646876, 216],
[1463115549019, 216],
[1463116450648, 216],
[1463117352349, 216],
[1463118253946, 216],
[1463119156578, 216],
[1463120058203, 216],
[1463120959760, 216],
[1463121861369, 216],
[1463122789637, 216],
[1463123691220, 216],
[1463124592800, 216],
[1463125494303, 216],
[1463126396372, 216],
[1463127297953, 216],
[1463129101163, 216],
[1463131806736, 216],
[1463132708533, 216],
[1463133609975, 216],
[1463134511369, 216],
[1463135412843, 216],
[1463136314360, 216],
[1463137215975, 216],
[1463138117467, 216],
[1463139018966, 216],
[1463244189971, 216],
[1463245092343, 216],
[1463245994312, 216],
[1463246896170, 216],
[1463247797920, 216],
[1463248699672, 216],
[1463249601469, 216],
[1463250503031, 216],
[1463251404841, 216],
[1463252306905, 216],
[1463253208993, 216],
[1463254110652, 216],
[1463255012225, 216],
[1463255914253, 216],
[1463256815884, 216],
[1463257717649, 216],
[1463258619285, 216],
[1463259521224, 216],
[1463260422803, 216],
[1463261324573, 216],
[1463262226276, 216],
[1463263127842, 216],
[1463264029515, 216],
[1463264931315, 216],
[1463265832922, 216],
[1463266734918, 216],
[1463267636606, 216],
[1463268538190, 216],
[1463269439910, 216],
[1463270341704, 216],
[1463271246387, 216],
[1463272148063, 216],
[1463273049973, 216],
[1463273951926, 216],
[1463274853661, 216],
[1463275755291, 216],
[1463276657394, 216],
[1463277559477, 216],
[1463278464348, 216],
[1463279366204, 216],
[1463280267937, 216],
[1463281169778, 216],
[1463282071544, 216],
[1463282976736, 216],
[1463283878816, 216],
[1463284780487, 216],
[1463285682213, 216],
[1463286583844, 216],
[1463287485593, 216],
[1463288387749, 216],
[1463289289462, 216],
[1463290191238, 216],
[1463291092841, 216],
[1463291994526, 216],
[1463292896446, 216],
[1463293798190, 216],
[1463294699959, 216],
[1463295601815, 216],
[1463296503553, 216],
[1463297405344, 216],
[1463298307068, 216],
[1463299209155, 216],
[1463300110808, 216],
[1463301012626, 216],
[1463301914454, 216],
[1463302816519, 216],
[1463303718167, 216],
[1463304619840, 216],
[1463305521599, 216],
[1463306423491, 216],
[1463307325087, 216],
[1463308226793, 216],
[1463309128554, 216],
[1463310030726, 216],
[1463310963618, 216],
[1463311865368, 216],
[1463312767017, 216],
[1463313668944, 216],
[1463314570717, 216],
[1463315472401, 216],
[1463316374015, 216],
[1463317276158, 216],
[1463318177801, 216],
[1463319080589, 216],
[1463319982293, 216],
[1463320884327, 216],
[1463321786003, 216],
[1463322687740, 216],
[1463323589369, 216],
[1463324491044, 216],
[1463325392703, 216],
