[1462740884158, 2846],
[1462740937763, 2846],
[1462741039571, 2846],
[1462741853953, 2846],
[1462742305609, 2846],
[1462742315104, 2846],
[1462742621655, 2846],
[1462742950263, 2846],
[1462743323287, 2846],
[1462743332226, 2846],
[1462743606599, 2846],
[1462743622750, 2846],
[1462744949471, 2846],
[1462745195084, 2846],
[1462745261412, 2846],
[1462746163037, 2846],
[1462747064675, 2846],
[1462747969371, 2846],
[1462748871026, 2846],
[1462749772755, 2846],
[1462750674415, 2846],
[1462751576105, 2846],
[1462752477812, 2846],
[1462753380146, 2846],
[1462754281801, 2846],
[1462755183925, 2846],
[1462756085683, 2846],
[1462756987895, 2846],
[1462757889486, 2846],
[1462758791146, 2846],
[1462759692808, 2846],
[1462760594488, 2846],
[1462761496183, 2846],
[1462762397943, 2846],
[1462763299785, 2846],
[1462764202517, 2846],
[1462765104160, 2846],
[1462766005827, 2846],
[1462766907461, 2846],
[1462767809200, 2846],
[1462768710824, 2846],
[1462769612557, 2846],
[1462770514516, 2846],
[1462771416973, 2846],
[1462772318888, 2846],
[1462773220565, 2846],
[1462775024417, 2846],
[1462776844423, 2846],
[1462777766542, 2846],
[1462778668231, 2846],
[1462779569997, 2846],
[1462780471745, 2846],
[1462781373492, 2846],
[1462782306051, 2846],
[1462783207848, 2846],
[1462784109540, 2846],
[1462785011334, 2846],
[1462785913636, 2846],
[1462786815424, 2846],
[1462787717008, 2846],
[1462788618789, 2846],
[1462789520636, 2846],
[1462790422326, 2846],
[1462791323949, 2846],
[1462792225675, 2846],
[1462793127298, 2846],
[1462808274861, 2846],
[1462809177063, 2846],
[1462810078608, 2846],
[1462810980159, 2846],
[1462811881857, 2846],
[1462812783565, 2846],
[1462813685179, 2846],
[1462814586685, 2846],
[1462815488292, 2846],
[1462816389890, 2846],
[1462821827304, 2846],
[1462822728879, 2846],
[1462823630944, 2846],
[1462824532471, 2846],
[1462825434008, 2846],
[1462826335425, 2846],
[1462827237000, 2846],
[1462828138568, 2846],
[1462829040141, 2846],
[1462829941691, 2846],
[1462830843552, 2846],
[1462831745119, 2846],
[1462832646728, 2846],
[1462833548414, 2846],
[1462834449919, 2846],
[1462835351434, 2846],
[1462836252954, 2846],
[1462837154589, 2846],
[1462838056648, 2846],
[1462838958160, 2846],
[1462839859871, 2846],
[1462840761440, 2846],
[1462841663241, 2846],
[1462842564754, 2846],
[1462843466323, 2846],
[1462844367867, 2846],
[1462845269479, 2846],
[1462846171389, 2846],
[1462847072957, 2846],
[1462847983600, 2846],
[1462848888161, 2846],
[1462849789703, 2846],
[1462850691233, 2846],
[1462851592779, 2846],
[1462852494844, 2846],
[1462853396483, 2846],
[1462854298118, 2846],
[1462855199586, 2846],
[1462856101256, 2846],
[1462857002980, 2846],
[1462857904588, 2846],
[1462858806209, 2846],
[1462859707813, 2846],
[1462861511072, 2846],
[1462862412532, 2846],
[1462863327862, 2846],
[1462864256139, 2846],
[1462865157702, 2846],
[1462866059585, 2846],
[1462867863282, 2846],
[1462868765374, 2846],
[1462869666975, 2846],
[1462870568622, 2846],
[1462871470235, 2846],
[1462872377709, 2846],
[1462873279624, 2846],
[1462874181625, 2846],
[1462875083155, 2846],
[1462875984732, 2846],
[1462876886376, 2846],
[1462877788054, 2846],
[1462878689682, 2846],
[1462879591311, 2846],
[1462880492863, 2846],
[1462881395649, 2846],
[1462883198902, 2846],
[1462884103410, 2846],
[1462885005311, 2846],
[1462885906797, 2846],
[1462886812223, 2846],
[1462887713761, 2846],
[1462888615297, 2846],
[1462889516984, 2846],
[1462890418717, 2846],
[1462891320432, 2846],
[1462892222009, 2846],
[1462893123579, 2846],
[1462894025332, 2846],
[1462894927011, 2846],
[1462895829245, 2846],
[1462896730917, 2846],
[1462897632371, 2846],
[1462898533938, 2846],
[1462899435509, 2846],
[1462900337091, 2846],
[1462901238669, 2846],
[1462903042000, 2846],
[1462905747333, 2846],
[1462906650133, 2846],
[1462907552897, 2846],
[1462908460111, 2846],
[1462909367651, 2846],
[1462910270456, 2846],
[1462911173603, 2846],
[1462912075207, 2846],
[1462912976848, 2846],
[1462913878584, 2846],
[1462914780213, 2846],
[1462915682344, 2846],
[1462916585011, 2846],
[1462917487273, 2846],
[1462918388987, 2846],
[1462919290684, 2846],
[1462920193405, 2846],
[1462921095043, 2846],
[1462921996719, 2846],
[1462922898447, 2846],
[1462923800045, 2846],
[1462924702345, 2846],
[1462925604018, 2846],
[1462926505633, 2846],
[1462927407328, 2846],
[1462928309265, 2846],
[1462929210974, 2846],
[1462930112636, 2846],
[1462931014265, 2846],
[1462931915960, 2846],
[1462932817584, 2846],
[1462933719176, 2846],
[1462934620896, 2846],
[1462935523217, 2846],
[1462936424901, 2846],
[1462937326588, 2846],
[1462938228389, 2846],
[1462939130319, 2846],
[1462940032012, 2846],
[1462940933740, 2846],
[1462941835852, 2846],
[1462942737492, 2846],
[1462943639224, 2846],
[1462944540933, 2846],
[1462945442658, 2846],
[1462946344292, 2846],
[1462947246006, 2846],
[1462948147826, 2846],
[1462949049504, 2846],
[1462949951326, 2846],
[1462950853049, 2846],
[1462951754721, 2846],
[1463071353132, 2846],
[1463072255191, 2846],
[1463073156752, 2846],
[1463074058429, 2846],
[1463075861534, 2846],
[1463080369566, 2846],
[1463081271191, 2846],
[1463082172776, 2846],
[1463084878051, 2846],
[1463086681699, 2846],
[1463088485267, 2846],
[1463089386833, 2846],
[1463090288416, 2846],
[1463091190075, 2846],
[1463092104843, 2846],
[1463093006334, 2846],
[1463093907913, 2846],
[1463094809450, 2846],
[1463095711095, 2846],
[1463096612642, 2846],
[1463097514158, 2846],
[1463098415758, 2846],
[1463099317306, 2846],
[1463100218821, 2846],
[1463101120689, 2846],
[1463102022305, 2846],
[1463102923879, 2846],
[1463103825381, 2846],
[1463104727293, 2846],
[1463105628885, 2846],
[1463106530521, 2846],
[1463107432048, 2846],
[1463108333723, 2846],
[1463109235483, 2846],
[1463110137164, 2846],
[1463111038763, 2846],
[1463111941362, 2846],
[1463112843351, 2846],
[1463113745123, 2846],
[1463114646876, 2846],
[1463115549019, 2846],
[1463116450648, 2846],
[1463117352349, 2846],
[1463118253946, 2846],
[1463120959760, 2846],
[1463122789637, 2846],
[1463123691220, 2846],
[1463124592800, 2846],
[1463125494303, 2846],
[1463126396372, 2846],
[1463127297953, 2846],
[1463128199613, 2846],
[1463129101163, 2846],
[1463130003464, 2846],
[1463130905092, 2846],
[1463131806736, 2846],
[1463132708533, 2846],
[1463133609975, 2846],
[1463134511369, 2846],
[1463135412843, 2846],
[1463136314360, 2846],
[1463137215975, 2846],
[1463138117467, 2846],
[1463139018966, 2846],
[1463244189971, 2909],
[1463245092343, 2909],
[1463245994312, 2909],
[1463246896170, 2909],
[1463247797920, 2909],
[1463248699672, 2909],
[1463249601469, 2909],
[1463250503031, 2909],
[1463251404841, 2909],
[1463252306905, 2909],
[1463253208993, 2909],
[1463254110652, 2909],
[1463255012225, 2909],
[1463255914253, 2909],
[1463256815884, 2909],
[1463257717649, 2909],
[1463258619285, 2909],
[1463259521224, 2909],
[1463260422803, 2909],
[1463261324573, 2909],
[1463262226276, 2909],
[1463263127842, 2909],
[1463264029515, 2909],
[1463264931315, 2909],
[1463265832922, 2909],
[1463266734918, 2909],
[1463267636606, 2909],
[1463268538190, 2909],
[1463269439910, 2909],
[1463270341704, 2909],
[1463271246387, 2909],
[1463272148063, 2909],
[1463273049973, 2909],
[1463273951926, 2909],
[1463274853661, 2909],
[1463275755291, 2909],
[1463276657394, 2909],
[1463277559477, 2909],
[1463278464348, 2909],
[1463279366204, 2909],
[1463280267937, 2909],
[1463281169778, 2909],
[1463282071544, 2909],
[1463282976736, 2909],
[1463283878816, 2909],
[1463284780487, 2909],
[1463285682213, 2909],
[1463286583844, 2909],
[1463287485593, 2909],
[1463288387749, 2909],
[1463289289462, 2909],
[1463290191238, 2909],
[1463291092841, 2909],
[1463291994526, 2909],
[1463292896446, 2909],
[1463293798190, 2909],
[1463294699959, 2909],
[1463295601815, 2909],
[1463296503553, 2909],
[1463297405344, 2909],
[1463298307068, 2909],
[1463299209155, 2909],
[1463300110808, 2909],
[1463301012626, 2909],
[1463301914454, 2909],
[1463302816519, 2909],
[1463303718167, 2909],
[1463304619840, 2909],
[1463305521599, 2909],
[1463306423491, 2909],
[1463307325087, 2909],
[1463308226793, 2909],
[1463309128554, 2909],
[1463310030726, 2909],
[1463310963618, 2909],
[1463311865368, 2909],
[1463312767017, 2909],
[1463313668944, 2909],
[1463314570717, 2909],
[1463315472401, 2909],
[1463316374015, 2909],
[1463317276158, 2909],
[1463318177801, 2909],
[1463319080589, 2909],
[1463319982293, 2909],
[1463320884327, 2909],
[1463321786003, 2909],
