[1462740884158, 4088],
[1462740937763, 4088],
[1462741039571, 4088],
[1462741853953, 4088],
[1462742305609, 4088],
[1462742315104, 4088],
[1462742621655, 4088],
[1462742950263, 4088],
[1462743323287, 4088],
[1462743332226, 4088],
[1462743606599, 4088],
[1462743622750, 4088],
[1462744949471, 4088],
[1462745195084, 4088],
[1462745261412, 4088],
[1462746163037, 4088],
[1462747064675, 4088],
[1462747969371, 4088],
[1462748871026, 4088],
[1462749772755, 4088],
[1462750674415, 4088],
[1462751576105, 4088],
[1462752477812, 4088],
[1462753380146, 4088],
[1462754281801, 4088],
[1462755183925, 4088],
[1462756085683, 4088],
[1462756987895, 4088],
[1462757889486, 4088],
[1462758791146, 4088],
[1462759692808, 4088],
[1462760594488, 4088],
[1462808274861, 4207],
[1462809177063, 4207],
[1462810078608, 4207],
[1462810980159, 4207],
[1462811881857, 4207],
[1462812783565, 4207],
[1462813685179, 4207],
[1462814586685, 4207],
[1462815488292, 4207],
[1462816418497, 4207],
[1462820925849, 4207],
[1462821827304, 4207],
[1462822728879, 4207],
[1462823630944, 4207],
[1462824532471, 4207],
[1462825434008, 4207],
[1462826335425, 4207],
[1462827237000, 4207],
[1462828138568, 4207],
[1462829040141, 4207],
[1462829941691, 4207],
[1462830843552, 4207],
[1462831745119, 4207],
[1462832646728, 4207],
[1462833548414, 4207],
[1462834449919, 4207],
[1462835351434, 4207],
[1462836252954, 4207],
[1462837154589, 4207],
[1462838056648, 4207],
[1462838958160, 4207],
[1462839859871, 4207],
[1462840761440, 4207],
[1462841663241, 4207],
[1462842564754, 4207],
[1462843466323, 4207],
[1462844367867, 4207],
[1462845269479, 4207],
[1462846171389, 4207],
[1462847082471, 4207],
[1462847983600, 4207],
[1462848888161, 4207],
[1462849789703, 4207],
[1462850691233, 4207],
[1462851592779, 4207],
[1462852494844, 4207],
[1462853396483, 4207],
[1462854298118, 4207],
[1462855199586, 4207],
[1462856101256, 4207],
[1462857002980, 4207],
[1462857904588, 4207],
[1462858806209, 4207],
[1462859707813, 4207],
[1462866961598, 4207],
[1462867863282, 4207],
[1462873279624, 4207],
[1462874181625, 4207],
[1462875083155, 4207],
[1462875984732, 4207],
[1462876886376, 4207],
[1462877788054, 4207],
[1462878689682, 4207],
[1462879591311, 4207],
[1462880492863, 4207],
[1462881395649, 4207],
[1462882297251, 4207],
[1462883198902, 4207],
[1462884103410, 4207],
[1462885005311, 4207],
[1462885906797, 4207],
[1462886812223, 4207],
[1462887713761, 4207],
[1462888615297, 4207],
[1462889516984, 4207],
[1462890418717, 4207],
[1462891320432, 4207],
[1462892222009, 4207],
[1462893123579, 4207],
[1462894025332, 4207],
[1462894927011, 4207],
[1462895829245, 4207],
[1462896730917, 4207],
[1462897632371, 4207],
[1462898533938, 4207],
[1462899435509, 4207],
[1462900337091, 4207],
[1462901238669, 4207],
[1462902140320, 4207],
[1462903042000, 4207],
[1462903943528, 4207],
[1462904845644, 4207],
[1462905747333, 4207],
[1462906650133, 4207],
[1462907552897, 4207],
[1462908466374, 4207],
[1462909367651, 4207],
[1462910270456, 4207],
[1462911173603, 4207],
[1462912075207, 4207],
[1462912976848, 4207],
[1462913878584, 4207],
[1462914780213, 4207],
[1462915682344, 4207],
[1462916585011, 4207],
[1462917487273, 4207],
[1462918388987, 4207],
[1462919290684, 4207],
[1462920193405, 4207],
[1462921095043, 4207],
[1462921996719, 4207],
[1462922898447, 4207],
[1462923800045, 4207],
[1462924702345, 4207],
[1462925604018, 4207],
[1462926505633, 4207],
[1462927407328, 4207],
[1462928309265, 4207],
[1462929210974, 4207],
[1462930112636, 4207],
[1462931014265, 4207],
[1462931915960, 4207],
[1462932817584, 4207],
[1462933719176, 4207],
[1462934620896, 4207],
[1462935523217, 4207],
[1462936424901, 4207],
[1462937326588, 4207],
[1462938228389, 4207],
[1462939130319, 4207],
[1462940032012, 4207],
[1462940933740, 4207],
[1462941835852, 4207],
[1462942737492, 4207],
