[1462740884158, 6632],
[1462740937763, 6632],
[1462741039571, 6632],
[1462741853953, 6632],
[1462742305609, 6632],
[1462742315104, 6632],
[1462742621655, 6632],
[1462742950263, 6632],
[1462743323287, 6632],
[1462743332226, 6632],
[1462743606599, 6632],
[1462743622750, 6632],
[1462744949471, 6632],
[1462745195084, 6632],
[1462745261412, 6632],
[1462746163037, 6632],
[1462747064675, 6632],
[1462747969371, 6632],
[1462748871026, 6632],
[1462749772755, 6632],
[1462750674415, 6632],
[1462751576105, 6632],
[1462752477812, 6632],
[1462753380146, 6632],
[1462754281801, 6632],
[1462755183925, 6632],
[1462756085683, 6632],
[1462756987895, 6632],
[1462757889486, 6632],
[1462758791146, 6632],
[1462759692808, 6632],
[1462760594488, 6632],
[1462779569997, 6632],
[1462780471745, 6632],
[1462808274861, 6632],
[1462809177063, 6632],
[1462810078608, 6632],
[1462810980159, 6632],
[1462811881857, 6632],
[1462812783565, 6632],
[1462813685179, 6632],
[1462814586685, 6632],
[1462815488292, 6632],
[1462821827304, 6632],
[1462822728879, 6632],
[1462823630944, 6632],
[1462824532471, 6632],
[1462825434008, 6632],
[1462826335425, 6632],
[1462827237000, 6632],
[1462828138568, 6632],
[1462829040141, 6632],
[1462829941691, 6632],
[1462830843552, 6632],
[1462831745119, 6632],
[1462832646728, 6632],
[1462833548414, 6632],
[1462834449919, 6632],
[1462835351434, 6632],
[1462836252954, 6632],
[1462837154589, 6632],
[1462838056648, 6632],
[1462838958160, 6632],
[1462839859871, 6632],
[1462840761440, 6632],
[1462841663241, 6632],
[1462842564754, 6632],
[1462843466323, 6632],
[1462844367867, 6632],
[1462845269479, 6632],
[1462846171389, 6632],
[1462847082471, 6632],
[1462847983600, 6632],
[1462848888161, 6632],
[1462849789703, 6632],
[1462850691233, 6632],
[1462851592779, 6632],
[1462852494844, 6632],
[1462853396483, 6632],
[1462854298118, 6632],
[1462855199586, 6632],
[1462856101256, 6632],
[1462857002980, 6632],
[1462857904588, 6632],
[1462858806209, 6632],
[1462859707813, 6632],
[1462860609502, 6632],
[1462861511072, 6632],
[1462862426119, 6632],
[1462863354727, 6632],
[1462864256139, 6632],
[1462865157702, 6632],
[1462866059585, 6632],
[1462866961598, 6632],
[1462867863282, 6632],
[1462877788054, 6632],
[1462878689682, 6632],
[1462879591311, 6632],
[1462880492863, 6632],
[1462881395649, 6632],
[1462885005311, 6632],
[1462885906797, 6632],
[1462886812223, 6632],
[1462887713761, 6632],
[1462888615297, 6632],
[1462889516984, 6632],
[1462890418717, 6632],
[1462891320432, 6632],
[1462892222009, 6632],
[1462893123579, 6632],
[1462894025332, 6632],
[1462894927011, 6632],
[1462895829245, 6632],
[1462896730917, 6632],
[1462897632371, 6632],
[1462898533938, 6632],
[1462899435509, 6632],
