[1462740884158, 1763],
[1462740937763, 1763],
[1462741039571, 1763],
[1462741853953, 1763],
[1462742305609, 1763],
[1462742315104, 1763],
[1462742621655, 1763],
[1462742950263, 1763],
[1462743323287, 1763],
[1462743332226, 1763],
[1462743606599, 1763],
[1462743622750, 1763],
[1462744949471, 1763],
[1462745195084, 1763],
[1462745261412, 1763],
[1462746163037, 1763],
[1462747064675, 1763],
[1462747969371, 1763],
[1462748871026, 1763],
[1462749772755, 1763],
[1462750674415, 1763],
[1462751576105, 1763],
[1462752477812, 1763],
[1462753380146, 1763],
[1462754281801, 1763],
[1462755183925, 1763],
[1462756085683, 1763],
[1462756987895, 1763],
[1462757889486, 1763],
[1462758791146, 1763],
[1462759692808, 1763],
[1462760594488, 1763],
[1462761496183, 1763],
[1462762397943, 1763],
[1462763299785, 1763],
[1462764202517, 1763],
[1462765104160, 1763],
[1462766005827, 1763],
[1462766907461, 1763],
[1462767809200, 1763],
[1462768710824, 1763],
[1462769612557, 1763],
[1462770514516, 1763],
[1462771416973, 1763],
[1462772318888, 1763],
[1462773220565, 1763],
[1462774122164, 1763],
[1462775041069, 1763],
[1462775942630, 1763],
[1462776865136, 1763],
[1462777766542, 1763],
[1462778668231, 1763],
[1462779569997, 1763],
[1462780471745, 1763],
[1462781404733, 1763],
[1462782306051, 1763],
[1462783207848, 1763],
[1462784109540, 1763],
[1462785011334, 1763],
[1462785913636, 1763],
[1462786815424, 1763],
[1462787717008, 1763],
[1462788618789, 1763],
[1462789520636, 1763],
[1462790422326, 1763],
[1462791323949, 1763],
[1462792225675, 1763],
[1462793127298, 1763],
[1462808274861, 1763],
[1462809177063, 1763],
[1462810078608, 1763],
[1462810980159, 1763],
[1462811881857, 1763],
[1462812783565, 1763],
[1462813685179, 1763],
[1462814586685, 1763],
[1462815488292, 1763],
[1462816418497, 1763],
[1462817319848, 1763],
[1462818221339, 1763],
[1462819122887, 1763],
[1462820024484, 1763],
[1462820925849, 1763],
[1462821827304, 1763],
[1462822728879, 1763],
[1462823630944, 1763],
[1462824532471, 1763],
[1462825434008, 1763],
[1462826335425, 1763],
[1462827237000, 1763],
[1462828138568, 1763],
[1462829040141, 1763],
[1462829941691, 1763],
[1462830843552, 1763],
[1462831745119, 1763],
[1462832646728, 1763],
[1462873279624, 1763],
[1462874181625, 1763],
[1462875083155, 1763],
[1462875984732, 1763],
[1462876886376, 1763],
[1462877788054, 1763],
[1462878689682, 1763],
[1462879591311, 1763],
[1462880492863, 1763],
[1462881395649, 1763],
[1462882297251, 1763],
[1462883198902, 1763],
[1462884103410, 1763],
[1462885005311, 1763],
[1462885906797, 1763],
[1462886812223, 1763],
[1462887713761, 1763],
[1462888615297, 1763],
[1462889516984, 1763],
[1462890418717, 1763],
[1462891320432, 1763],
[1462892222009, 1763],
[1462893123579, 1763],
[1462894025332, 1763],
[1462894927011, 1763],
[1462895829245, 1763],
[1462896730917, 1763],
[1462897632371, 1763],
[1462898533938, 1763],
[1462899435509, 1763],
[1462900337091, 1763],
[1462901238669, 1763],
[1462903943528, 1763],
[1462904845644, 1763],
[1462905747333, 1763],
[1462906650133, 1763],
[1462907552897, 1763],
[1462908466374, 1763],
[1462909367651, 1763],
[1462910270456, 1763],
[1462911173603, 1763],
[1462912075207, 1763],
[1462912976848, 1763],
[1462913878584, 1763],
[1462914780213, 1763],
[1462915682344, 1763],
[1462916585011, 1763],
[1462917487273, 1763],
[1462918388987, 1763],
[1462919290684, 1763],
[1462920193405, 1763],
[1462921095043, 1763],
[1462921996719, 1763],
[1462922898447, 1763],
[1462923800045, 1763],
[1462924702345, 1763],
[1462925604018, 1763],
[1462926505633, 1763],
[1462927407328, 1763],
[1462928309265, 1763],
[1462929210974, 1763],
[1462930112636, 1763],
[1462931014265, 1763],
[1462931915960, 1763],
[1462932817584, 1763],
[1462933719176, 1763],
[1462934620896, 1763],
[1462935523217, 1763],
[1462936424901, 1763],
[1462937326588, 1763],
[1462938228389, 1763],
[1462939130319, 1763],
[1462940032012, 1763],
[1462940933740, 1763],
[1462941835852, 1763],
[1462942737492, 1763],
[1462943639224, 1763],
[1462944540933, 1763],
[1462945442658, 1763],
[1462946344292, 1763],
[1462947246006, 1763],
[1462948147826, 1763],
[1462949049504, 1763],
[1462949951326, 1763],
[1462950853049, 1763],
[1462951754721, 1763],
[1463071353132, 1763],
[1463072255191, 1763],
[1463073156752, 1763],
[1463074058429, 1763],
[1463074959883, 1763],
[1463075861534, 1763],
[1463076763095, 1763],
[1463077664725, 1763],
[1463078566259, 1763],
[1463079467981, 1763],
[1463080369566, 1763],
[1463081271191, 1763],
[1463093006334, 1763],
[1463093907913, 1763],
[1463094809450, 1763],
[1463095711095, 1763],
[1463096612642, 1763],
[1463097514158, 1763],
[1463098415758, 1763],
[1463099317306, 1763],
[1463100218821, 1763],
[1463101120689, 1763],
[1463102022305, 1763],
[1463102923879, 1763],
[1463103825381, 1763],
[1463104727293, 1763],
[1463105628885, 1763],
[1463106530521, 1763],
[1463107432048, 1763],
[1463108333723, 1763],
[1463109235483, 1763],
[1463110137164, 1763],
[1463111038763, 1763],
[1463111941362, 1763],
[1463112843351, 1763],
[1463113745123, 1763],
[1463114646876, 1763],
[1463115549019, 1763],
[1463116450648, 1763],
[1463117352349, 1763],
[1463118253946, 1763],
[1463119156578, 1763],
[1463120058203, 1763],
[1463121888181, 1763],
[1463122789637, 1763],
[1463123691220, 1763],
[1463124592800, 1763],
[1463125494303, 1763],
[1463126396372, 1763],
[1463127297953, 1763],
[1463128199613, 1763],
[1463129101163, 1763],
[1463130003464, 1763],
[1463130905092, 1763],
[1463131806736, 1763],
[1463132708533, 1763],
[1463133609975, 1763],
[1463134511369, 1763],
[1463135412843, 1763],
[1463136314360, 1763],
[1463137215975, 1763],
[1463138117467, 1763],
[1463139018966, 1763],
[1463244189971, 1763],
[1463245092343, 1763],
[1463245994312, 1763],
[1463246896170, 1763],
[1463263127842, 1763],
[1463264029515, 1763],
[1463264931315, 1763],
[1463265832922, 1763],
[1463266734918, 1763],
[1463267636606, 1763],
