[1462740884158, 88],
[1462740937763, 88],
[1462741039571, 88],
[1462741853953, 88],
[1462742305609, 88],
[1462742315104, 88],
[1462742621655, 88],
[1462742950263, 88],
[1462743323287, 88],
[1462743332226, 88],
[1462743606599, 88],
[1462743622750, 88],
[1462745195084, 88],
[1462745261412, 88],
[1462748871026, 88],
[1462749772755, 88],
[1462750674415, 88],
[1462751576105, 88],
[1462752477812, 88],
[1462753380146, 88],
[1462754281801, 88],
[1462755183925, 88],
[1462756085683, 88],
[1462756987895, 88],
[1462757889486, 88],
[1462758791146, 88],
[1462759692808, 88],
[1462760594488, 88],
[1462761496183, 88],
[1462762397943, 88],
[1462763299785, 88],
[1462764202517, 88],
[1462765104160, 88],
[1462766005827, 88],
[1462766907461, 88],
[1462767809200, 88],
[1462768710824, 88],
[1462769612557, 88],
[1462775041069, 88],
[1462775942630, 88],
[1462786815424, 88],
[1462787717008, 88],
[1462788618789, 88],
[1462789520636, 88],
[1462790422326, 88],
[1462791323949, 88],
[1462792225675, 88],
[1462793127298, 88],
[1462808274861, 88],
[1462809177063, 88],
[1462810078608, 88],
[1462810980159, 88],
[1462811881857, 88],
[1462812783565, 88],
[1462813685179, 88],
[1462814586685, 88],
[1462815488292, 88],
[1462816418497, 88],
[1462817319848, 88],
[1462818221339, 88],
[1462819122887, 88],
[1462820024484, 88],
[1462820925849, 88],
[1462821827304, 88],
[1462824532471, 88],
[1462825434008, 88],
[1462826335425, 88],
[1462827237000, 88],
[1462828138568, 88],
[1462829040141, 88],
[1462829941691, 88],
[1462830843552, 88],
[1462831745119, 88],
[1462832646728, 88],
[1462833548414, 88],
[1462834449919, 88],
[1462835351434, 88],
[1462836252954, 88],
[1462837154589, 88],
[1462838056648, 88],
[1462838958160, 88],
[1462839859871, 88],
[1462840761440, 88],
[1462841663241, 88],
[1462842564754, 88],
[1462843466323, 88],
[1462844367867, 88],
[1462845269479, 88],
[1462846171389, 88],
[1462847072957, 88],
[1462847983600, 88],
[1462848888161, 88],
[1462849789703, 88],
[1462850691233, 88],
[1462851592779, 88],
[1462852494844, 88],
[1462853396483, 88],
[1462854298118, 88],
[1462855199586, 88],
[1462856101256, 88],
[1462857002980, 88],
[1462857904588, 88],
[1462858806209, 88],
[1462859707813, 88],
[1462860609502, 88],
[1462861511072, 88],
[1462862426119, 88],
