[1462740884158, 534],
[1462740937763, 534],
[1462741039571, 534],
[1462741853953, 534],
[1462742305609, 534],
[1462742315104, 534],
[1462742621655, 534],
[1462742950263, 534],
[1462743323287, 534],
[1462743332226, 534],
[1462743606599, 534],
[1462743622750, 534],
[1462744949471, 534],
[1462745195084, 534],
[1462745261412, 534],
[1462746163037, 534],
[1462747064675, 534],
[1462747969371, 534],
[1462748871026, 534],
[1462749772755, 534],
[1462750674415, 534],
[1462751576105, 534],
[1462752477812, 534],
[1462753380146, 534],
[1462754281801, 534],
[1462755183925, 534],
[1462756085683, 534],
[1462756987895, 534],
[1462757889486, 534],
[1462758791146, 534],
[1462759692808, 534],
[1462760594488, 534],
[1462761496183, 534],
[1462762397943, 534],
[1462763299785, 534],
[1462764202517, 534],
[1462765104160, 534],
[1462766005827, 534],
[1462766907461, 534],
[1462767809200, 534],
[1462768710824, 534],
[1462769612557, 534],
[1462770514516, 534],
[1462771416973, 534],
[1462772318888, 534],
[1462773220565, 534],
[1462774122164, 534],
[1462775041069, 534],
[1462775942630, 534],
[1462776865136, 534],
[1462777766542, 534],
[1462778668231, 534],
[1462779569997, 534],
[1462780471745, 534],
[1462781373492, 534],
[1462782306051, 534],
[1462783207848, 534],
[1462784109540, 534],
[1462785011334, 534],
[1462785913636, 534],
[1462786815424, 534],
[1462787717008, 534],
[1462788618789, 534],
[1462789520636, 534],
[1462790422326, 534],
[1462791323949, 534],
[1462792225675, 534],
[1462793127298, 534],
[1462808274861, 534],
[1462809177063, 534],
[1462810078608, 534],
[1462810980159, 534],
[1462811881857, 534],
[1462812783565, 534],
[1462813685179, 534],
[1462814586685, 534],
[1462815488292, 534],
[1462816418497, 534],
[1462817319848, 534],
[1462818221339, 534],
[1462819122887, 534],
[1462820925849, 534],
[1462821827304, 534],
[1462822728879, 534],
[1462823630944, 534],
[1462824532471, 534],
[1462825434008, 534],
[1462826335425, 534],
[1462827237000, 534],
[1462828138568, 534],
[1462829040141, 534],
[1462829941691, 534],
[1462830843552, 534],
[1462831745119, 534],
[1462832646728, 534],
[1462833548414, 534],
[1462834449919, 534],
[1462835351434, 534],
[1462836252954, 534],
[1462837154589, 534],
[1462838056648, 534],
[1462838958160, 534],
[1462839859871, 534],
[1462840761440, 534],
[1462841663241, 534],
[1462842564754, 534],
[1462843466323, 534],
[1462844367867, 534],
[1462845269479, 534],
[1462846171389, 534],
[1462847072957, 534],
[1462847983600, 534],
[1462848888161, 534],
[1462849789703, 534],
[1462850691233, 534],
[1462851592779, 534],
[1462852494844, 534],
[1462853396483, 534],
[1462854298118, 534],
[1462855199586, 534],
[1462856101256, 534],
[1462857002980, 534],
[1462857904588, 534],
[1462858806209, 534],
[1462859707813, 534],
[1462860609502, 534],
[1462861511072, 534],
[1462862426119, 534],
[1462863354727, 534],
[1462864256139, 534],
[1462865157702, 534],
[1462866059585, 534],
[1462866961598, 534],
[1462867863282, 534],
[1462868765374, 534],
[1462869666975, 534],
[1462870568622, 534],
[1462871470235, 534],
[1462872377709, 534],
[1462873279624, 534],
[1462874181625, 534],
[1462875083155, 534],
[1462875984732, 534],
[1462876886376, 534],
[1462877788054, 534],
[1462878689682, 534],
[1462879591311, 534],
[1462880492863, 534],
[1462882297251, 534],
[1462883198902, 534],
[1462884103410, 534],
[1462885005311, 534],
[1462885906797, 534],
[1462886812223, 534],
[1462887713761, 534],
[1462888615297, 534],
[1462889516984, 534],
[1462890418717, 534],
[1462892222009, 534],
[1462907552897, 534],
[1462908460111, 534],
[1462909367651, 534],
[1462910270456, 534],
[1462911173603, 534],
[1462912075207, 534],
[1462912976848, 534],
[1462913878584, 534],
[1462914780213, 534],
[1462915682344, 534],
[1462916585011, 534],
[1462917487273, 534],
[1462918388987, 534],
[1462919290684, 534],
[1462920193405, 534],
[1462921095043, 534],
[1462921996719, 534],
[1462922898447, 534],
[1462923800045, 534],
[1462924702345, 534],
[1462925604018, 534],
[1462926505633, 534],
[1462927407328, 534],
[1462928309265, 534],
[1462929210974, 534],
[1462930112636, 534],
[1462931014265, 534],
[1462931915960, 534],
[1462932817584, 534],
[1462933719176, 534],
[1462934620896, 534],
[1462935523217, 534],
[1462936424901, 534],
[1462937326588, 534],
[1462938228389, 534],
[1462939130319, 534],
[1462940032012, 534],
[1462940933740, 534],
[1462941835852, 534],
[1462942737492, 534],
[1462943639224, 534],
[1462944540933, 534],
[1462945442658, 534],
[1462946344292, 534],
[1462947246006, 534],
[1462948147826, 534],
[1462949049504, 534],
[1462949951326, 534],
[1462950853049, 534],
[1462951754721, 534],
[1463071353132, 534],
[1463072255191, 534],
[1463079467981, 534],
[1463080369566, 534],
[1463081271191, 534],
[1463082172776, 534],
[1463083074995, 534],
[1463083976563, 534],
[1463084878051, 534],
[1463085779381, 534],
[1463086681699, 534],
[1463087583380, 534],
[1463088485267, 534],
[1463089386833, 534],
[1463090288416, 534],
[1463091190075, 534],
[1463092104843, 534],
[1463093006334, 534],
[1463093907913, 534],
[1463094809450, 534],
[1463095711095, 534],
[1463096612642, 534],
[1463097514158, 534],
[1463098415758, 534],
[1463099317306, 534],
[1463100218821, 534],
[1463101120689, 534],
[1463102022305, 534],
[1463102923879, 534],
[1463103825381, 534],
[1463104727293, 534],
[1463105628885, 534],
[1463106530521, 534],
[1463107432048, 534],
[1463108333723, 534],
[1463109235483, 534],
[1463110137164, 534],
[1463111038763, 534],
[1463111941362, 534],
[1463112843351, 534],
[1463113745123, 534],
[1463114646876, 534],
[1463115549019, 534],
[1463116450648, 534],
[1463117352349, 534],
[1463118253946, 534],
[1463121888181, 534],
[1463122789637, 534],
[1463123691220, 534],
[1463124592800, 534],
[1463125494303, 534],
[1463126396372, 534],
[1463127297953, 534],
[1463128199613, 534],
[1463129101163, 534],
[1463130003464, 534],
[1463130905092, 534],
[1463131806736, 534],
[1463132708533, 534],
[1463133609975, 534],
[1463134511369, 534],
[1463135412843, 534],
[1463136314360, 534],
[1463137215975, 534],
[1463138117467, 534],
[1463139018966, 534],
[1463244189971, 534],
[1463245092343, 534],
[1463245994312, 534],
[1463246896170, 534],
[1463247797920, 534],
[1463248699672, 534],
[1463249601469, 534],
[1463250503031, 534],
[1463251404841, 534],
[1463252306905, 534],
[1463253208993, 534],
[1463254110652, 534],
[1463255012225, 534],
[1463255914253, 534],
[1463256815884, 534],
[1463257717649, 534],
[1463258619285, 534],
[1463259521224, 534],
[1463260422803, 534],
[1463261324573, 534],
[1463262226276, 534],
[1463263127842, 534],
[1463264029515, 534],
[1463264931315, 534],
[1463265832922, 534],
[1463266734918, 534],
[1463267636606, 534],
[1463268538190, 534],
[1463269439910, 534],
[1463270341704, 534],
[1463271246387, 534],
[1463272148063, 534],
[1463273049973, 534],
[1463273951926, 534],
[1463274853661, 534],
[1463275755291, 534],
[1463276657394, 534],
[1463277559477, 534],
[1463278464348, 534],
[1463279366204, 534],
[1463280267937, 534],
[1463281169778, 534],
[1463282071544, 534],
[1463282976736, 534],
[1463283878816, 534],
[1463284780487, 534],
[1463285682213, 534],
[1463286583844, 534],
[1463287485593, 534],
[1463288387749, 534],
[1463289289462, 534],
[1463290191238, 534],
[1463291092841, 534],
[1463291994526, 534],
[1463292896446, 534],
[1463293798190, 534],
[1463294699959, 534],
[1463295601815, 534],
[1463296503553, 534],
[1463297405344, 534],
[1463298307068, 534],
[1463299209155, 534],
[1463300110808, 534],
[1463301012626, 534],
[1463301914454, 534],
[1463302816519, 534],
[1463303718167, 534],
[1463304619840, 534],
[1463305521599, 534],
[1463306423491, 534],
[1463307325087, 534],
[1463308226793, 534],
[1463309128554, 534],
[1463310030726, 534],
[1463310963618, 534],
[1463311865368, 534],
[1463312767017, 534],
[1463313668944, 534],
[1463314570717, 534],
[1463315472401, 534],
[1463316374015, 534],
[1463317276158, 534],
[1463318177801, 534],
[1463319080589, 534],
[1463319982293, 534],
[1463320884327, 534],
[1463321786003, 534],
[1463322687740, 534],
[1463323589369, 534],
[1463324491044, 534],
[1463325392703, 534],
[1463326294380, 534],
[1463327196117, 534],
[1463328098196, 534],
[1463328999846, 534],
[1463336214126, 534],
[1463337116762, 534],
[1463338018426, 534],
[1463338920146, 534],
[1463339822133, 534],
[1463340723813, 534],
[1463341625404, 534],
[1463342530054, 534],
[1463343431882, 534],
[1463344333557, 534],
[1463345235278, 534],
[1463346137454, 534],
[1463347039207, 534],
[1463347940913, 534],
[1463348842574, 534],
[1463349744282, 534],
[1463350649268, 534],
[1463351550948, 534],
[1463352452712, 534],
[1463353354988, 534],
[1463354256797, 534],
[1463355158821, 534],
[1463356060462, 534],
[1463356962521, 534],
[1463357864555, 534],
[1463358766254, 534],
[1463359668004, 534],
[1463360570055, 534],
[1463361472076, 534],
[1463362373902, 534],
[1463363276012, 534],
[1463364178151, 534],
[1463365081263, 534],
[1463365983310, 534],
[1463366884931, 534],
[1463367786593, 534],
[1463368688259, 534],
[1463369590072, 534],
[1463370491776, 534],
[1463371393438, 534],
[1463372295154, 534],
[1463373196863, 534],
[1463374098641, 534],
[1463375003041, 534],
[1463375904919, 534],
[1463376806673, 534],
[1463377708487, 534],
[1463378610376, 534],
[1463379512463, 534],
[1463380414186, 534],
[1463381315946, 534],
[1463382217705, 534],
[1463383119615, 534],
[1463384021334, 534],
[1463384923122, 534],
[1463385825354, 534],
[1463386727056, 534],
[1463387629909, 534],
[1463388531703, 534],
[1463389434278, 534],
[1463390336186, 534],
[1463391238112, 534],
[1463392139850, 534],
[1463393041624, 534],
[1463393943443, 534],
[1463394845281, 534],
[1463395747286, 534],
[1463396649615, 534],
[1463397551543, 534],
[1463398453447, 534],
[1463399355062, 534],
[1463400256754, 534],
[1463401174325, 534],
[1463402091325, 534],
[1463402993014, 534],
[1463403895439, 534],
[1463404797602, 534],
[1463405699312, 534],
[1463406601091, 534],
[1463407503380, 534],
[1463408405120, 534],
