[1462740884158, 27],
[1462740937763, 27],
[1462741039571, 27],
[1462741853953, 27],
[1462742305609, 27],
[1462742315104, 27],
[1462742621655, 27],
[1462742950263, 27],
[1462743323287, 27],
[1462743332226, 27],
[1462743606599, 27],
[1462743622750, 27],
[1462744949471, 27],
[1462745195084, 27],
[1462745261412, 27],
[1462746163037, 27],
[1462747064675, 27],
[1462747969371, 27],
[1462748871026, 27],
[1462749772755, 27],
[1462750674415, 27],
[1462751576105, 27],
[1462752477812, 27],
[1462753380146, 27],
[1462754281801, 27],
[1462755183925, 27],
[1462756085683, 27],
[1462756987895, 27],
[1462757889486, 27],
[1462758791146, 27],
[1462759692808, 27],
[1462760594488, 27],
[1462761496183, 27],
[1462762397943, 27],
[1462763299785, 27],
[1462764202517, 27],
[1462765104160, 27],
[1462766005827, 27],
[1462766907461, 27],
[1462767809200, 27],
[1462768710824, 27],
[1462769612557, 27],
[1462770514516, 27],
[1462771416973, 27],
[1462772318888, 27],
[1462773220565, 27],
[1462774122164, 27],
[1462775024417, 27],
[1462775942630, 27],
[1462776844423, 27],
[1462777766542, 27],
[1462778668231, 27],
[1462779569997, 27],
[1462780471745, 27],
[1462781373492, 27],
[1462782306051, 27],
[1462783207848, 27],
[1462784109540, 27],
[1462785011334, 27],
[1462785913636, 27],
[1462786815424, 27],
[1462787717008, 27],
[1462788618789, 27],
[1462789520636, 27],
[1462790422326, 27],
[1462791323949, 27],
[1462792225675, 27],
[1462793127298, 27],
[1462808274861, 27],
[1462809177063, 27],
[1462810078608, 27],
[1462810980159, 27],
[1462811881857, 27],
[1462812783565, 27],
[1462813685179, 27],
[1462814586685, 27],
[1462815488292, 27],
[1462816389890, 27],
[1462817319848, 27],
[1462818221339, 27],
[1462819122887, 27],
[1462820024484, 27],
[1462820925849, 27],
[1462821827304, 27],
[1462822728879, 27],
[1462823630944, 27],
[1462824532471, 27],
[1462825434008, 27],
[1462826335425, 27],
[1462827237000, 27],
[1462828138568, 27],
[1462829040141, 27],
[1462829941691, 27],
[1462830843552, 27],
[1462831745119, 27],
[1462832646728, 27],
[1462833548414, 27],
[1462834449919, 27],
[1462835351434, 27],
[1462836252954, 27],
[1462837154589, 27],
[1462838056648, 27],
[1462838958160, 27],
[1462839859871, 27],
[1462840761440, 27],
[1462841663241, 27],
[1462842564754, 27],
[1462843466323, 27],
[1462844367867, 27],
[1462845269479, 27],
[1462846171389, 27],
[1462847072957, 27],
[1462847983600, 27],
[1462848888161, 27],
[1462849789703, 27],
[1462850691233, 27],
[1462851592779, 27],
[1462852494844, 27],
[1462853396483, 27],
[1462854298118, 27],
[1462855199586, 27],
[1462856101256, 27],
[1462857002980, 27],
[1462857904588, 27],
[1462858806209, 27],
[1462859707813, 27],
[1462860609502, 27],
[1462861511072, 27],
[1462862412532, 27],
[1462863327862, 27],
[1462864256139, 27],
[1462865157702, 27],
[1462866059585, 27],
[1462866961598, 27],
[1462867863282, 27],
[1462868765374, 27],
[1462869666975, 27],
[1462870568622, 27],
[1462871470235, 27],
[1462872377709, 27],
[1462873279624, 27],
[1462874181625, 27],
[1462875083155, 27],
[1462875984732, 27],
[1462876886376, 27],
[1462877788054, 27],
[1462878689682, 27],
[1462879591311, 27],
[1462880492863, 27],
[1462881395649, 27],
[1462882297251, 27],
[1462883198902, 27],
[1462884103410, 27],
[1462885005311, 27],
[1462885906797, 27],
[1462886812223, 27],
[1462887713761, 27],
[1462888615297, 27],
[1462889516984, 27],
[1462890418717, 27],
[1462891320432, 27],
[1462892222009, 27],
[1462893123579, 27],
[1462894025332, 27],
[1462894927011, 27],
[1462895829245, 27],
[1462896730917, 27],
[1462897632371, 27],
[1462898533938, 27],
[1462899435509, 27],
[1462900337091, 27],
[1462901238669, 27],
[1462902140320, 27],
[1462903042000, 27],
[1462903943528, 27],
[1462904845644, 27],
[1462905747333, 27],
[1462906650133, 27],
[1462907552897, 27],
[1462908460111, 27],
[1462909367651, 27],
[1462910270456, 27],
[1462911173603, 27],
[1462912075207, 27],
[1462912976848, 27],
[1462913878584, 27],
[1462914780213, 27],
[1462915682344, 27],
[1462916585011, 27],
[1462917487273, 27],
[1462918388987, 27],
[1462919290684, 27],
[1462920193405, 27],
[1462921095043, 27],
[1462921996719, 27],
[1462922898447, 27],
[1462923800045, 27],
[1462924702345, 27],
[1462925604018, 27],
[1462926505633, 27],
[1462927407328, 27],
[1462928309265, 27],
[1462929210974, 27],
[1462930112636, 27],
[1462931014265, 27],
[1462931915960, 27],
[1462932817584, 27],
[1462933719176, 27],
[1462934620896, 27],
[1462935523217, 27],
[1462936424901, 27],
[1462937326588, 27],
[1462938228389, 27],
[1462939130319, 27],
[1462940032012, 27],
[1462940933740, 27],
[1462941835852, 27],
[1462942737492, 27],
[1462943639224, 27],
[1462944540933, 27],
[1462945442658, 27],
[1462946344292, 27],
[1462947246006, 27],
[1462948147826, 27],
[1462949049504, 27],
[1462949951326, 27],
[1462950853049, 51],
[1462951754721, 51],
[1463071353132, 20],
[1463072255191, 20],
[1463073156752, 20],
[1463074959883, 20],
[1463075861534, 20],
[1463076763095, 20],
[1463097514158, 20],
[1463098415758, 20],
[1463099317306, 20],
[1463100218821, 20],
[1463101120689, 20],
[1463102022305, 20],
[1463102923879, 20],
[1463103825381, 20],
[1463104727293, 20],
[1463105628885, 20],
[1463106530521, 20],
[1463107432048, 20],
[1463108333723, 20],
[1463109235483, 20],
[1463138117467, 21],
[1463139018966, 21],
[1463244189971, 21],
[1463245092343, 21],
[1463245994312, 21],
[1463246896170, 21],
[1463248699672, 21],
[1463249601469, 21],
[1463250503031, 21],
[1463251404841, 21],
[1463252306905, 21],
[1463255012225, 21],
[1463255914253, 21],
[1463256815884, 21],
[1463257717649, 21],
[1463258619285, 21],
[1463259521224, 21],
[1463260422803, 21],
[1463261324573, 21],
[1463262226276, 21],
[1463263127842, 21],
[1463264029515, 21],
[1463264931315, 21],
[1463265832922, 21],
[1463266734918, 21],
[1463267636606, 21],
[1463268538190, 21],
[1463269439910, 21],
[1463270341704, 21],
[1463271246387, 21],
[1463272148063, 21],
[1463273049973, 21],
[1463273951926, 21],
[1463274853661, 21],
[1463275755291, 21],
[1463276657394, 21],
[1463277559477, 21],
[1463278464348, 21],
[1463279366204, 21],
[1463280267937, 21],
[1463281169778, 21],
[1463282071544, 21],
[1463282976736, 21],
[1463283878816, 21],
[1463284780487, 21],
[1463285682213, 21],
[1463286583844, 21],
[1463287485593, 21],
