[1462756085683, 724],
[1462756987895, 724],
[1462757889486, 724],
[1462758791146, 724],
[1462759692808, 724],
[1462760594488, 724],
[1462761496183, 724],
[1462762397943, 724],
[1462763299785, 724],
[1462770514516, 724],
[1462771416973, 724],
[1462772318888, 724],
[1462773220565, 724],
[1462774122164, 724],
[1462775041069, 724],
[1462775942630, 724],
[1462776865136, 724],
[1462777766542, 724],
[1462778668231, 724],
[1462779569997, 724],
[1462780471745, 724],
[1462781404733, 724],
[1462782306051, 724],
[1462783207848, 724],
[1462784109540, 724],
[1462785011334, 724],
[1462785913636, 724],
[1462786815424, 724],
[1462787717008, 724],
[1462788618789, 724],
[1462789520636, 724],
[1462790422326, 724],
[1462791323949, 724],
[1462792225675, 724],
[1462793127298, 724],
[1462830843552, 724],
[1462831745119, 724],
[1462832646728, 724],
[1462833548414, 724],
[1462834449919, 724],
[1462835351434, 724],
[1462836252954, 724],
[1462837154589, 724],
[1462838056648, 724],
[1462838958160, 724],
[1462839859871, 724],
[1462840761440, 724],
[1462841663241, 724],
[1462842564754, 724],
[1462843466323, 724],
[1462844367867, 724],
[1462845269479, 724],
[1462846171389, 724],
[1462847082471, 724],
[1462847983600, 724],
[1462848888161, 724],
[1462849789703, 724],
[1462850691233, 724],
[1462851592779, 724],
[1462854298118, 724],
[1462855199586, 724],
[1462856101256, 724],
[1462857002980, 724],
[1462857904588, 724],
[1462858806209, 724],
[1462859707813, 724],
[1462860609502, 724],
[1462866059585, 724],
[1462866961598, 724],
[1462867863282, 724],
[1462868765374, 724],
[1462869666975, 724],
[1462870568622, 724],
[1462871476947, 724],
[1462872377709, 724],
[1462873279624, 724],
[1462874181625, 724],
[1462875083155, 724],
[1462875984732, 724],
[1462877788054, 724],
[1462878689682, 724],
[1462879591311, 724],
[1462880492863, 724],
[1462881395649, 724],
[1462882297251, 724],
[1462883198902, 724],
[1462884103410, 724],
[1462918388987, 724],
[1462919290684, 724],
[1462920193405, 724],
[1462921095043, 724],
[1462921996719, 724],
[1462926505633, 724],
[1462927407328, 724],
[1462928309265, 724],
[1462929210974, 724],
[1462930112636, 724],
[1462931014265, 724],
[1462931915960, 724],
[1462932817584, 724],
[1462933719176, 724],
[1462934620896, 724],
[1462935523217, 724],
[1462936424901, 724],
[1462937326588, 724],
[1462938228389, 724],
[1462939130319, 724],
[1462940032012, 724],
[1462940933740, 724],
[1462941835852, 724],
[1462942737492, 724],
[1462943639224, 724],
[1462944540933, 724],
[1462945442658, 724],
[1462946344292, 724],
[1462947246006, 724],
[1462948147826, 724],
[1462949049504, 724],
[1462951754721, 724],
[1463074058429, 724],
[1463074959883, 724],
[1463075861534, 724],
[1463076763095, 724],
[1463077664725, 724],
[1463078566259, 724],
[1463079467981, 724],
[1463090288416, 724],
[1463091204025, 724],
[1463092104843, 724],
[1463093006334, 724],
[1463093907913, 724],
[1463094809450, 724],
[1463095711095, 724],
[1463096612642, 724],
[1463097514158, 724],
[1463098415758, 724],
[1463099317306, 724],
[1463100218821, 724],
[1463101120689, 724],
[1463102022305, 724],
[1463102923879, 724],
[1463103825381, 724],
[1463104727293, 724],
[1463105628885, 724],
[1463106530521, 724],
[1463107432048, 724],
[1463108333723, 724],
[1463109235483, 724],
[1463110137164, 724],
[1463111038763, 724],
[1463111941362, 724],
[1463112843351, 724],
[1463113745123, 724],
[1463114646876, 724],
[1463115549019, 724],
[1463116450648, 724],
[1463117352349, 724],
[1463118253946, 724],
