[1462740884158, 202],
[1462740937763, 202],
[1462741039571, 202],
[1462741853953, 202],
[1462742305609, 202],
[1462742315104, 202],
[1462742621655, 202],
[1462742950263, 202],
[1462743323287, 202],
[1462743332226, 202],
[1462743606599, 202],
[1462743622750, 202],
[1462744949471, 202],
[1462745195084, 202],
[1462745261412, 202],
[1462746163037, 202],
[1462747064675, 202],
[1462747969371, 202],
[1462748871026, 202],
[1462749772755, 202],
[1462750674415, 202],
[1462751576105, 202],
[1462752477812, 202],
[1462753380146, 202],
[1462754281801, 202],
[1462755183925, 202],
[1462756085683, 202],
[1462756987895, 202],
[1462757889486, 202],
[1462758791146, 202],
[1462759692808, 202],
[1462760594488, 202],
[1462761496183, 202],
[1462762397943, 202],
[1462763299785, 202],
[1462764202517, 202],
[1462765104160, 202],
[1462766005827, 202],
[1462766907461, 202],
[1462767809200, 202],
[1462768710824, 202],
[1462769612557, 202],
[1462770514516, 202],
[1462771416973, 202],
[1462772318888, 202],
[1462773220565, 202],
[1462774122164, 202],
[1462775041069, 202],
[1462775942630, 202],
[1462776865136, 202],
[1462777766542, 202],
[1462778668231, 202],
[1462779569997, 202],
[1462780471745, 202],
[1462781404733, 202],
[1462782306051, 202],
[1462783207848, 202],
[1462784109540, 202],
[1462785011334, 202],
[1462785913636, 202],
[1462786815424, 202],
[1462787717008, 202],
[1462788618789, 202],
[1462789520636, 202],
[1462809177063, 202],
[1462810078608, 202],
[1462810980159, 202],
[1462812783565, 202],
[1462815488292, 202],
[1462823630944, 202],
[1462824532471, 202],
[1462825434008, 202],
[1462826335425, 202],
[1462827237000, 202],
[1462828138568, 202],
[1462829040141, 202],
[1462829941691, 202],
[1462830843552, 202],
[1462831745119, 202],
[1462833548414, 202],
[1462834449919, 202],
[1462835351434, 202],
[1462836252954, 202],
[1462837154589, 202],
[1462838056648, 202],
[1462838958160, 202],
[1462839859871, 202],
[1462840761440, 202],
[1462841663241, 202],
[1462842564754, 202],
[1462843466323, 202],
[1462844367867, 202],
[1462845269479, 202],
[1462846171389, 202],
[1462847082471, 202],
[1462847983600, 202],
[1462848888161, 202],
[1462849789703, 202],
[1462850691233, 202],
[1462851592779, 202],
[1462852494844, 202],
[1462853396483, 202],
[1462854298118, 202],
[1462855199586, 202],
[1462856101256, 202],
[1462857002980, 202],
[1462857904588, 202],
[1462858806209, 202],
[1462859707813, 202],
[1462861511072, 202],
[1462867863282, 202],
[1462868765374, 202],
[1462869666975, 202],
[1462870568622, 202],
[1462871476947, 202],
[1462872377709, 202],
[1462873279624, 202],
